DATE;Levegő páratartalom;Talaj nedvesség 60 cm;Légnyomás;Levegő hőmérséklet;Napelem töltő feszültség;Külső akkufeszültség;Csapadék;Talaj hőmérséklet 0 cm;Szél irány;Belső akkufeszültség;Csapadék Számláló;Levél nedvesség;Besugárzás;Szél lökés;Talaj nedvesség 90 cm;Fény egység;Talaj nedvesség 120 cm;Fagy;Szél sebesség;Talaj nedvesség 30 cm
2020. 12. 31. 1:00;96,53801;16,722496;998,64;6,7;0;11,706166;0;6,133333;57,008675;3,8691664;;10;0;0;11,902999;650,5;0;;0;14,996997
2020. 12. 31. 2:00;96,40833;16,722496;998,3667;6,7000003;0;11,693168;0;6,2000003;57,008675;3,8701665;;10;0;0,5;11,863332;1298,3334;0;;0;14,996997
2020. 12. 31. 3:00;96,30666;16,702665;997,8;6,6;0;11,695168;0;6,2000003;57,008675;3,8696663;;10;0;0,5;11,783998;298,16666;0;;0;14,996997
2020. 12. 31. 4:00;96,40833;16,86133;997,4666;6,4666667;0;11,682167;0,036166664;6,183334;56,94988;3,8703334;;10;0;0;11,98233;649,1667;0;;0;17,476162
2020. 12. 31. 5:00;96,61499;17,21833;997,48334;6,383333;0,08983333;11,685333;0;6,116667;57,008675;3,8695;;10;0;0;12,51783;649,1667;0;;0;17,495996
2020. 12. 31. 6:00;96,793335;18,566998;997,63336;6,233333;8,201833;11,603833;0;6,1;81,86467;3,7250001;;10;0,8333333;2,6666667;14,302833;650;0;;0,33333334;17,654665
2020. 12. 31. 7:00;96,986664;19,816498;997,78326;6,2000003;15,496166;11,666333;0;6,1;282,33932;3,8715;;10;10,833333;3,8;16,206831;653,3333;0;;0,4;17,971998
2020. 12. 31. 8:00;97,155;20,252832;997,68335;6,4500003;16,762167;11,706833;0;6,183334;265,98492;3,8713331;;10;55,833332;4,5;16,762163;28,166666;0;;1,3333334;18,487663
2020. 12. 31. 9:00;97,131996;19,399998;997,5;7;16,756332;11,758;0;6,34;273,5442;3,8706665;;10;80,833336;6,6666665;16,186996;678,8333;0;;2;18,785162
2020. 12. 31. 10:00;96,78333;18,923996;997,23334;7,450001;16,76;11,726666;0;6,433334;267,5369;3,8704998;;10;49,166668;7,1666665;15,512664;15,166667;0;;2,5;16,900997
2020. 12. 31. 11:00;95,418335;18,5075;996,95;7,683333;16,550833;11,672501;0;6,566667;258,98395;3,8716667;;10;30,833334;6,6666665;14,977164;8,666667;0;;1,6666666;16,385332
2020. 12. 31. 12:00;95,168335;18,685997;996,91656;7,566666;15,333835;11,665;0;6,6;274,5924;3,87;;10;15,833333;6;15,115997;1252,1666;0;;1,6666666;18,745497
2020. 12. 31. 13:00;95,868324;20,570166;997,35004;7,2666664;15,330001;11,649166;0,036166664;6,6;261,3165;3,8713331;;10;15;5,6666665;17,119165;1,6666666;0;;1;19,142164
2020. 12. 31. 14:00;96,23834;20,887499;997,73334;7,0166664;10,579333;11,6536665;0,043399997;6,5499997;275,11823;3,8718336;;10;5;4,8;17,634829;0;0;;0,8;19,598331
2020. 12. 31. 15:00;96,541664;21,68083;998,2166;6,6999993;0,91533333;11,649167;0;6,433333;266,90997;3,872;;10;0;5,6666665;18,76533;0;0;;1;20,213163
2020. 12. 31. 16:00;96,82667;23,069162;998,63336;6,35;0;11,646832;0;6,4;294,53485;3,8711665;;10;0;5,8333335;20,530497;0;0;;1,3333334;21,065996
2020. 12. 31. 17:00;96,94166;22,39483;999,03326;6,183334;0;11,644666;0,036166664;6,2999997;335,95834;3,8721669;;10;0;7;19,816496;0;0;;1,3333334;22,137
2020. 12. 31. 18:00;96,61;21,819662;999,5;5,6400003;0;11,63;0;6,283333;354,9402;3,871667;;10;0;6,3333335;19,06283;0;0;;0,8333333;18,090998
2020. 12. 31. 19:00;95,71667;21,613396;1000;5,116667;0;11,6293335;0;6,12;38,699505;3,8704998;;10;0;6,5;18,804998;0,33333334;0;;1,3333334;18,507498
2020. 12. 31. 20:00;95,70167;21,184998;1000,6167;4,75;0;11,618;0;5,9833336;16,962923;3,8706665;;10;0;7,1666665;18,269499;0;0;;1,6666666;18,567
2020. 12. 31. 21:00;95,405;20,808165;1001,1833;4,45;0;11,616666;0;5,866667;58,46675;3,8708332;;12;0;5,5;17,714165;0;0;;0,5;18,567
