DATE; Talajhőmérséklet 0 cm; Szélirány; Szélsebesség; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Széllökés; Levegő-páratartalom; Besugárzás; Talajnedvesség 90 cm; Csapadék; Levegő-hőmérséklet
2021-04-30 23:50:00; 15,48923;  42,45202;   0,34806;  10,08047;   8,51972;   0,56187;  83,03460;   0,00000;  14,75725;   0,00000;  16,32251
2021-04-30 22:40:00; 15,66038;  73,16004;   0,80425;  10,07440;   8,52022;   1,03717;  82,23590;   0,00000;  14,75497;   0,00000;  16,19093
2021-04-30 23:30:00; 15,52946;  62,31948;   0,63373;  10,07869;   8,52409;   1,22990;  82,59070;   0,00000;  14,75497;   0,00000;  16,25910
2021-04-30 23:20:00; 15,55429;  59,97675;   0,76652;  10,07792;   8,52459;   0,91793;  81,98021;   0,00000;  14,75526;   0,00000;  16,34061
2021-04-30 23:40:00; 15,50979;  55,12326;   0,36717;  10,07617;   8,52363;   0,50470;  82,48970;   0,00000;  14,75610;   0,00000;  16,27023
2021-04-30 23:00:00; 15,60106;  66,26415;   0,99188;  10,07586;   8,52032;   1,37363;  81,50863;   0,00000;  14,75641;   0,00000;  16,31823
2021-04-30 22:50:00; 15,63075;  77,00826;   0,91058;  10,07565;   8,51924;   1,19233;  81,79401;   0,00000;  14,75382;   0,00000;  16,23915
2021-04-30 23:10:00; 15,57796;  72,29542;   1,10631;  10,07763;   8,52279;   1,44387;  82,48910;   0,00000;  14,75512;   0,00000;  16,18070
2021-04-30 22:20:00; 15,72192;  24,20677;   0,43087;  10,07315;   8,52654;   0,60433;  80,89020;   0,00000;  14,75583;   0,00000;  16,31222
2021-04-30 22:10:00; 15,75449;  40,51006;   0,54112;  10,07315;   8,53114;   0,72357;  79,87870;   0,00000;  14,75353;   0,00000;  16,59701
2021-04-30 22:00:00; 15,78407;  66,19080;   0,61348;  10,07290;   8,53482;   0,75950;  79,78770;   0,00000;  14,75670;   0,00000;  16,59465
2021-04-30 22:30:00; 15,69067;  57,22990;   0,56105;  10,07290;   8,52363;   0,80033;  81,43859;   0,00000;  14,75726;   0,00000;  16,27640
2021-04-30 12:10:00; 15,48502; 225,29211;   1,68478;  10,05858;   8,75400;   2,38957;  55,18710; 314,20020;  14,75096;   0,00000;  23,57443
2021-04-30 14:30:00; 16,49573; 176,39656;   2,15689;  10,04230;   8,62875;   2,83710;  50,48182; 235,53722;  14,74448;   0,00000;  24,27076
2021-04-30 16:50:00; 16,87223; 123,32742;   0,43692;  10,04230;   8,54870;   0,76277;  55,88940;  39,10952;  14,74640;   0,00000;  23,09886
2021-04-30 17:10:00; 16,85726;  97,58866;   0,45880;  10,04256;   8,55212;   0,70233;  58,41140;  24,25286;  14,74781;   0,00000;  22,41947
2021-04-30 17:20:00; 16,84578;  94,56213;   0,64272;  10,04461;   8,54919;   1,11720;  59,49480;  17,61525;  14,74469;   0,00000;  22,04452
2021-04-30 17:30:00; 16,82348;  84,57748;   0,94554;  10,04561;   8,54919;   1,26583;  60,75539;   5,57309;  14,74555;   0,00000;  21,61239
2021-04-30 16:40:00; 16,87689; 125,70579;   0,55337;  10,04230;   8,54820;   0,90323;  54,80840;  51,81034;  14,74726;   0,00000;  23,42835
2021-04-30 15:10:00; 16,65953; 159,30219;   1,13549;  10,04230;   8,60655;   1,95837;  52,50429; 231,76677;  14,74413;   0,00000;  23,99390
2021-04-30 11:40:00; 15,24131; 210,19525;   1,85432;  10,05707;   8,78275;   2,54473;  56,14060; 446,95474;  14,75011;   0,00000;  22,95393
2021-04-30 15:20:00; 16,68887; 139,91962;   1,23170;  10,04230;   8,59676;   2,09067;  52,11790; 302,95470;  14,74328;   0,00000;  24,22865
2021-04-30 18:10:00; 16,69269;  56,73994;   0,41977;  10,04460;   8,54676;   0,53573;  69,56889;   0,00000;  14,74412;   0,00000;  19,75687
2021-04-30 18:40:00; 16,57126;  85,28783;   0,66362;  10,05221;   8,54820;   0,93590;  72,74800;   0,00000;  14,74556;   0,00000;  18,86086
2021-04-30 18:20:00; 16,65064;  77,22217;   0,57360;  10,04602;   8,54624;   0,75623;  71,15472;   0,00000;  14,74550;   0,00000;  19,38464
2021-04-30 17:00:00; 16,86262; 123,09112;   0,31883;  10,04230;   8,54870;   0,77093;  56,90640;  32,45839;  14,74442;   0,00000;  22,88946
2021-04-30 12:40:00; 15,67066; 224,59001;   1,77331;  10,05807;   8,74006;   2,60353;  55,75270; 336,46075;  14,75097;   0,00000;  23,09123
2021-04-30 11:10:00; 14,94867; 186,14647;   0,82941;  10,05783;   8,81144;   1,79830;  58,18480; 499,44952;  14,75069;   0,00000;  22,99878
2021-04-30 10:50:00; 14,77473; 229,98874;   1,65293;  10,06496;   8,82445;   2,70480;  60,93270; 420,42032;  14,74981;   0,00000;  22,24176
2021-04-30 12:30:00; 15,61318; 201,83908;   1,79667;  10,06013;   8,72903;   2,73747;  55,62770; 302,63397;  14,74725;   0,00000;  23,13687
2021-04-30 13:00:00; 15,78427; 191,52467;   1,54089;  10,06140;   8,70967;   2,17397;  53,59580; 472,75380;  14,74468;   0,00000;  24,07694
2021-04-30 14:10:00; 16,34221; 217,15306;   1,66714;  10,04230;   8,65512;   2,34873;  48,96890; 352,45963;  14,74411;   0,00000;  24,81648
2021-04-30 15:00:00; 16,62944; 176,39542;   1,31222;  10,04230;   8,60728;   1,93387;  51,77650; 216,68628;  14,74299;   0,00000;  24,15804
2021-04-30 13:50:00; 16,17413; 210,77776;   1,87049;  10,04230;   8,65855;   2,12497;  48,18920; 497,08316;  14,74441;   0,00000;  24,80285
2021-04-30 12:20:00; 15,55224; 232,98607;   1,07963;  10,05962;   8,74151;   2,13150;  56,06240; 301,37198;  14,74781;   0,00000;  22,97026
2021-04-30 11:20:00; 15,04790; 204,07059;   1,21634;  10,05476;   8,79106;   2,00410;  55,81350; 573,28380;  14,74954;   0,00000;  23,94178
2021-04-30 11:30:00; 15,15023; 212,38673;   1,89238;  10,05426;   8,78909;   3,22910;  55,23280; 375,64080;  14,74953;   0,00000;  23,53556
2021-04-30 13:40:00; 16,08830; 212,21730;   2,01651;  10,04461;   8,66882;   2,99227;  48,88450; 545,51730;  14,74582;   0,00000;  24,71761
2021-04-30 18:50:00; 16,53199;  74,98749;   0,78090;  10,05938;   8,54796;   1,11230;  72,85730;   0,00000;  14,74554;   0,00000;  18,73309
2021-04-30 16:30:00; 16,86766; 127,73211;   0,57330;  10,04230;   8,54845;   0,75297;  53,51630;  62,20083;  14,74355;   0,00000;  23,80143
2021-04-30 16:10:00; 16,84187; 148,84138;   1,01512;  10,04230;   8,56213;   1,59413;  51,51780; 138,59668;  14,74583;   0,00000;  24,61709
2021-04-30 14:50:00; 16,59119; 158,10612;   1,28837;  10,04230;   8,62165;   1,92733;  51,77870; 339,59918;  14,74299;   0,00000;  24,14895
2021-04-30 14:20:00; 16,42099; 232,79057;   1,63333;  10,04230;   8,63948;   3,04453;  49,26890; 397,29004;  14,74412;   0,00000;  24,70691
2021-04-30 13:30:00; 16,00505; 215,45250;   2,19553;  10,04918;   8,69227;   2,55780;  49,39660; 494,03067;  14,74498;   0,00000;  24,45123
2021-04-30 10:20:00; 14,56677; 220,06497;   1,42492;  10,07264;   8,85640;   3,00697;  61,97780; 375,34668;  14,75039;   0,00000;  22,07167
2021-04-30 11:00:00; 14,86289; 270,06190;   1,52602;  10,06012;   8,81904;   2,51697;  59,03290; 622,20800;  14,75182;   0,00000;  22,86236
2021-04-30 16:00:00; 16,81224;  89,91004;   0,92757;  10,04230;   8,56213;   1,39160;  51,92090; 179,76566;  14,74355;   0,00000;  24,80286
2021-04-30 17:50:00; 16,76748;  80,88940;   0,71540;  10,04308;   8,54652;   1,09597;  65,06900;   0,00000;  14,74697;   0,00000;  20,53770
2021-04-30 10:30:00; 14,63194; 243,78958;   1,32169;  10,07161;   8,84338;   1,81627;  61,03140; 494,71670;  14,75210;   0,00000;  22,41352
2021-04-30 13:20:00; 15,92361; 216,33957;   1,63709;  10,05554;   8,69619;   2,70807;  51,18040; 477,91425;  14,74439;   0,00000;  24,19552
2021-04-30 15:50:00; 16,78512; 106,36700;   1,28527;  10,04230;   8,57722;   1,63007;  51,54940; 185,91400;  14,74328;   0,00000;  24,79270
2021-04-30 18:00:00; 16,73283;  62,20954;   0,46860;  10,04307;   8,54434;   0,63210;  67,18810;   0,00000;  14,74413;   0,00000;  20,13634
2021-04-30 17:40:00; 16,80032;  76,08632;   0,72161;  10,04282;   8,54796;   0,91140;  63,41399;   0,00000;  14,74498;   0,00000;  20,94295
2021-04-30 15:40:00; 16,75497; 119,23752;   0,70789;  10,04230;   8,59018;   1,28217;  50,99820; 224,61569;  14,74298;   0,00000;  25,10043
2021-04-30 14:00:00; 16,25810; 209,36504;   1,93468;  10,04230;   8,64558;   3,34343;  48,36600; 480,92570;  14,74384;   0,00000;  24,91586
2021-04-30 18:30:00; 16,60802;  64,91844;   0,79689;  10,04881;   8,54820;   0,91957;  72,74989;   0,00000;  14,74623;   0,00000;  19,05391
2021-04-30 16:20:00; 16,85518; 132,05128;   0,56954;  10,04230;   8,54994;   1,05187;  52,86310;  72,61777;  14,74498;   0,00000;  23,96506
2021-04-30 15:30:00; 16,72092; 185,81636;   0,97820;  10,04230;   8,58431;   1,71337;  51,45840; 246,73530;  14,74356;   0,00000;  24,69513
2021-04-30 14:40:00; 16,54948; 200,70400;   1,58125;  10,04230;   8,60814;   2,15110;  51,82634; 178,76404;  14,74495;   0,00000;  23,78031
2021-04-30 12:00:00; 15,40913; 242,26056;   1,27547;  10,05681;   8,76062;   1,83750;  54,71140; 354,76004;  14,75155;   0,00000;  23,31883
2021-04-30 10:40:00; 14,70815; 211,32164;   1,34913;  10,06727;   8,83992;   2,46470;  59,84320; 283,23935;  14,75268;   0,00000;  22,74766
2021-04-30 12:50:00; 15,72500; 217,95996;   1,78572;  10,06114;   8,72681;   2,18703;  55,12790; 449,34637;  14,74952;   0,00000;  23,41424
2021-04-30 11:50:00; 15,33252; 206,07129;   1,64068;  10,05426;   8,77632;   2,46960;  55,00210; 390,98834;  14,74897;   0,00000;  23,33996
2021-04-30 13:10:00; 15,84951; 211,19075;   2,09312;  10,05631;   8,69963;   3,25360;  51,78780; 612,00226;  14,74642;   0,00000;  24,28187
2021-04-30 09:50:00; 14,40731; 298,33002;   1,53876;  10,07315;   8,88568;   2,23113;  63,26800; 527,98615;  14,75670;   0,00000;  21,97829
2021-04-30 06:20:00; 13,45349; 150,39816;   0,65742;  10,09627;   9,02648;   0,93100;  85,13051; 146,80008;  14,75096;   0,00000;  16,77655
2021-04-30 09:00:00; 14,18114; 308,55970;   1,33182;  10,07290;   8,92482;   2,07923;  63,79810; 157,35825;  14,75984;   0,00000;  21,46055
2021-04-30 09:40:00; 14,36550; 307,50623;   1,50430;  10,07315;   8,88148;   2,08087;  63,08400; 409,55432;  14,75610;   0,00000;  21,86507
2021-04-30 08:10:00; 13,94095; 208,87692;   2,23816;  10,07315;   8,96010;   2,97103;  66,54570; 106,41774;  14,75354;   0,00000;  20,96430
2021-04-30 10:10:00; 14,51177; 239,88614;   1,28108;  10,07290;   8,86948;   2,42223;  63,35878; 278,94208;  14,75450;   0,00000;  21,73678
2021-04-30 08:20:00; 13,99078; 207,22206;   1,98564;  10,07315;   8,94848;   2,64437;  66,01610; 176,05138;  14,75297;   0,00000;  20,97638
2021-04-30 09:30:00; 14,31854; 290,46410;   1,07245;  10,07315;   8,89011;   1,79013;  66,07690; 391,98140;  14,75412;   0,00000;  20,87451
2021-04-30 08:00:00; 13,88863; 211,06223;   2,04493;  10,07415;   8,96452;   3,03800;  68,41840;  63,71063;  14,75326;   0,00000;  20,42126
2021-04-30 07:50:00; 13,84048; 196,34018;   2,08969;  10,07365;   8,98576;   3,26830;  68,70800;  58,26373;  14,75326;   0,00000;  20,33193
2021-04-30 07:30:00; 13,74565; 203,11713;   1,61569;  10,07896;   8,99191;   2,07270;  71,24961; 150,76315;  14,75268;   0,00000;  19,60810
2021-04-30 06:10:00; 13,43288; 158,22517;   0,67130;  10,09321;   9,03087;   1,04207;  87,01478; 133,56636;  14,75165;   0,00000;  16,43469
2021-04-30 07:10:00; 13,65083; 212,40090;   1,53321;  10,08021;   9,00279;   2,06453;  70,16420; 214,19376;  14,75355;   0,00000;  19,51440
2021-04-30 08:30:00; 14,03931; 216,05708;   2,28912;  10,07315;   8,93273;   3,48227;  64,98350; 192,61615;  14,75582;   0,00000;  21,01808
2021-04-30 06:00:00; 13,41109; 133,66208;   0,53885;  10,09392;   9,03349;   0,94080;  89,83791; 123,47481;  14,74964;   0,00000;  15,77600
2021-04-30 06:50:00; 13,56115; 211,26376;   1,48054;  10,08928;   9,02381;   2,15763;  73,42891; 293,73032;  14,75198;   0,00000;  19,30915
2021-04-30 07:40:00; 13,79298; 199,86647;   1,82019;  10,07592;   8,98673;   2,23930;  70,40950;  66,93117;  14,75668;   0,00000;  20,06382
2021-04-30 10:00:00; 14,46309; 293,56805;   1,77647;  10,07290;   8,87342;   2,46960;  63,05136; 322,21920;  14,75353;   0,00000;  21,91237
2021-04-30 06:30:00; 13,48441; 160,24373;   0,78792;  10,09171;   9,02600;   1,82443;  82,48511; 220,00415;  14,74926;   0,00000;  17,44163
2021-04-30 09:20:00; 14,27466; 314,14188;   1,46690;  10,07365;   8,90090;   2,21807;  65,61931; 138,70717;  14,75669;   0,00000;  20,74118
2021-04-30 06:40:00; 13,51843; 186,05888;   1,37510;  10,08737;   9,03712;   1,94040;  78,86581; 420,68530;  14,75154;   0,00000;  18,15404
2021-04-30 07:00:00; 13,60584; 213,83008;   1,58197;  10,08472;   9,01903;   2,19357;  70,85455; 197,29286;  14,75162;   0,00000;  19,42583
2021-04-30 07:20:00; 13,70032; 193,50082;   1,79993;  10,07997;   8,99242;   2,23440;  69,86560; 197,88100;  14,75582;   0,00000;  19,67246
2021-04-30 08:50:00; 14,13433; 237,40411;   1,77658;  10,07290;   8,92112;   2,59210;  63,66600; 205,48430;  14,75467;   0,00000;  21,54291
2021-04-30 08:40:00; 14,08676; 206,98195;   1,92309;  10,07365;   8,93372;   2,77013;  63,46850; 204,16809;  14,75582;   0,00000;  21,41392
