DATE; Talajnedvesség 60 cm; Talajnedvesség 90 cm; Levegő-hőmérséklet; Levegő-páratartalom; Szélirány; Csapadék; Besugárzás; Talajhőmérséklet 0 cm; Szélsebesség; Széllökés; Talajnedvesség 30 cm
2021-03-05 00:00:00; 10,90636;  16,47219;   7,59878;  67,87589; 284,85852;   0,00000;  45,07291;   6,35128;   1,56362;   2,13873;   8,60343
2021-01-28 00:00:00; 11,76990;  16,43994;  -1,18311;  87,69982; 107,21033;   0,00000;  63,71333;   1,77674;   0,75886;   1,13207;  12,16969
2021-03-06 00:00:00; 10,84536;  16,40871;   2,20252;  59,06931; 337,11322;   0,00000;  81,47599;   5,26599;   0,99566;   1,47522;   8,35753
2021-02-05 00:00:00; 12,56258;  17,77500;   9,89029;  82,87253; 143,11823;   0,00000;  43,50170;   6,27555;   0,91014;   1,28818;  13,04071
2021-01-30 00:00:00; 11,81244;  16,69638;   9,40774;  85,68510; 216,46094;   0,00000;  88,30511;   5,28110;   1,23043;   1,67768;  12,82985
2021-01-31 00:00:00; 11,88172;  16,79150;   0,73190;  94,73306; 327,62225;   0,02114;  13,16729;   3,80411;   1,98204;   2,66997;  12,87553
2021-04-18 00:00:00; 9,29950;  14,98510;   7,07451;  97,13719; 306,10820;   0,09662;  33,41784;   8,39156;   0,73844;   1,05441;   9,60833
2021-04-20 00:00:00; 9,33508;  14,92347;  10,36341;  84,20853; 279,41590;   0,00000; 128,34387;  10,12543;   0,88541;   1,38639;  12,48644
2021-04-21 00:00:00; 9,46369;  14,90819;  11,71867;  75,33020; 131,54695;   0,00906; 117,34380;  10,81167;   0,84624;   1,27626;  11,94977
2021-04-22 00:00:00; 9,63609;  14,88957;  13,02296;  73,63833; 233,33179;   0,01812; 136,82143;  11,56995;   1,69789;   2,35938;  11,60531
2021-02-16 00:00:00; 12,08199;  17,92176;  -1,44205;  73,08558;  92,20510;   0,00000;  28,91715;   0,15027;   0,76969;   1,16118;  11,24058
2021-02-17 00:00:00; 11,90210;  17,73203;   2,29597;  77,99166; 148,69164;   0,00000;  28,30630;   0,45718;   0,95905;   1,32950;  11,36557
2021-04-16 00:00:00; 9,39182;  15,09065;   6,02805;  72,53542; 294,84827;   0,00000;  77,44649;   7,30420;   1,03354;   1,55900;   8,18399
2021-02-18 00:00:00; 11,77317;  17,56546;   5,86308;  77,03635; 319,47870;   0,00000;  81,57166;   2,00066;   1,07172;   1,51433;  11,47608
2021-04-17 00:00:00; 9,36259;  15,05262;   7,81046;  76,34714; 317,44907;   0,00000;  58,66276;   8,20893;   0,74662;   1,13013;   8,14315
2021-04-19 00:00:00; 9,28551;  14,94632;   8,31197;  95,51003; 340,91850;   0,01057;  47,96609;   9,09998;   0,58105;   0,92785;  13,03673
2021-03-29 00:00:00; 10,63550;  15,67661;  10,10373;  63,66781;  13,24470;   0,00000; 130,64598;   8,67241;   0,69136;   1,11398;   8,43837
2021-03-30 00:00:00; 10,60161;  15,68365;  13,57048;  68,12377; 325,26312;   0,00000;  81,12007;  10,18627;   0,60992;   0,99429;   8,13725
2021-04-01 00:00:00; 10,51432;  15,69347;  15,60191;  68,89367; 112,56213;   0,00000; 128,44646;  11,87789;   0,96848;   1,38207;   7,45803
2021-03-31 00:00:00; 10,56500;  15,69729;  15,30409;  65,63689;  24,96983;   0,00000; 113,75796;  11,44553;   0,46525;   0,82634;   7,82016
2021-04-02 00:00:00; 10,44394;  15,68746;  15,18823;  67,58524; 311,18558;   0,00604; 113,26132;  12,30196;   1,22940;   1,82885;   7,19617
2021-02-15 00:00:00; 12,28822;  18,12945;  -1,91581;  65,76568; 305,30084;   0,00000;  82,43053;   0,13416;   0,78065;   1,20001;  11,38374
2021-02-08 00:00:00; 12,25595;  17,79494;   6,36714;  96,39267;  22,18081;   0,04076;  16,11545;   6,83267;   1,56958;   2,15717;  12,43936
2021-02-09 00:00:00; 12,20996;  17,70711;   5,07953;  98,94877;  48,01224;   0,03019;  21,06099;   5,99727;   1,19861;   1,66202;  13,27022
2021-02-10 00:00:00; 12,40743;  17,70345;   6,56415;  98,14916;  68,71573;   0,06492;  34,39277;   6,36038;   1,39494;   1,91539;  13,82882
2021-02-11 00:00:00; 13,06396;  17,99676;  -1,80985;  78,85278; 314,68100;   0,00453;  35,34001;   4,20782;   3,13259;   4,30659;  14,66185
