DATE; Talajhőmérséklet 0 cm; Szélirány; Talajnedvesség 30 cm; Széllökés; Levegő-hőmérséklet; Szélsebesség; Csapadék; Talajnedvesség 90 cm; Besugárzás; Levegő-páratartalom; Talajnedvesség 60 cm
2021-04-28 19:00:00; 12,05831; 358,01407;   9,25709;   0,40670;  11,25657;   0,19317;   0,00000;  14,77745;   0,00000;  99,99799;  10,04350
2021-04-28 21:00:00; 11,98418; 158,80608;   9,25747;   0,65905;  11,07522;   0,31622;   0,00000;  14,77650;   0,00000;  99,99799;  10,07028
2021-04-28 17:00:00; 12,09127;   1,23922;   9,25469;   0,51804;  11,63373;   0,27263;   0,03623;  14,77749;   3,73958;  99,23753;  10,04406
2021-04-28 18:00:00; 12,08454;  67,01931;   9,25387;   0,77447;  11,39701;   0,47333;   0,03623;  14,77776;   0,00000;  99,99799;  10,04295
2021-04-28 16:00:00; 12,08154;  55,40126;   9,25558;   1,16212;  11,91267;   0,82624;   0,03623;  14,77779;  21,70922;  97,59290;  10,04598
2021-04-28 15:00:00; 12,02956;  50,97044;   9,25451;   1,58787;  12,00229;   0,99091;   0,03623;  14,77583;  54,30483;  96,74470;  10,04685
2021-04-28 14:00:00; 11,99091;  24,02189;   9,24864;   1,23099;  12,16964;   0,63795;   0,00000;  14,77492;  31,85937;  95,07828;  10,04684
2021-04-28 12:00:00; 11,86348;   7,99997;   9,25792;   1,32082;  12,33733;   0,82347;   0,00000;  14,77418;  52,14922;  91,50506;  10,04863
2021-04-28 13:00:00; 11,93684;   5,06488;   9,25356;   1,17981;  12,43800;   0,65180;   0,00000;  14,77383;  38,47683;  92,16608;  10,04759
2021-04-28 11:00:00; 11,78067;   2,19691;   9,26984;   1,45503;  12,24588;   0,83482;   0,00000;  14,77403;  60,52259;  89,48376;  10,04824
2021-04-28 10:00:00; 11,64668;  45,14307;   9,28516;   1,76672;  12,18782;   1,18972;   0,00000;  14,77393;  90,81189;  88,18219;  10,04816
2021-04-28 08:00:00; 11,35740;  54,65710;   9,31373;   2,16117;  11,27840;   1,48181;   0,00000;  14,77557; 115,18761;  76,55808;  10,04578
2021-04-28 09:00:00; 11,47857;  46,55611;   9,29617;   2,15028;  12,03934;   1,40267;   0,00000;  14,77455; 149,85988;  82,30952;  10,04792
2021-04-28 07:00:00; 11,28700;  55,68561;   9,34281;   1,84158;  10,84405;   1,20823;   0,00000;  14,77869; 108,00400;  74,28844;  10,04512
2021-04-28 05:00:00; 11,28416; 353,53656;   9,36168;   0,70614;   9,54254;   0,45095;   0,00000;  14,78131;  26,18995;  89,02576;  10,04606
2021-04-28 06:00:00; 11,27739;  29,87999;   9,35729;   1,22037;  10,15774;   0,77270;   0,00000;  14,78022;  66,71207;  79,69057;  10,04504
2021-04-28 03:00:00; 11,37264; 321,26800;   9,36674;   0,65170;   8,71589;   0,38487;   0,00000;  14,78404;   0,62072;  96,81870;  10,04688
2021-04-28 02:00:00; 11,44847; 333,65710;   9,37317;   0,46958;   8,70597;   0,18844;   0,00000;  14,78767;   0,00000;  97,24609;  10,04667
2021-04-28 04:00:00; 11,30724; 355,87000;   9,36270;   0,47421;   8,98387;   0,22658;   0,00000;  14,78374;  17,39331;  94,52602;  10,04664
2021-04-27 22:00:00; 11,75316; 341,28937;   9,38278;   0,57085;   8,90025;   0,29698;   0,00000;  14,79280;   0,00000;  96,53500;  10,05049
2021-04-27 23:00:00; 11,66807; 346,03574;   9,38252;   0,38601;   8,75687;   0,17152;   0,03623;  14,79038;   0,00000;  97,49548;  10,05101
2021-04-28 00:00:00; 11,59058; 316,75000;   9,37811;   0,39744;   8,75222;   0,18540;   0,00000;  14,79095;   0,00000;  98,12967;  10,05059
2021-04-28 01:00:00; 11,52111; 332,62796;   9,37675;   0,34082;   8,77634;   0,18312;   0,00000;  14,78998;   0,00000;  97,34455;  10,04941
2021-04-28 20:00:00; 12,02128; 133,69598;   9,25899;   0,50661;  11,21195;   0,22199;   0,00000;  14,77735;   0,00000;  99,99799;  10,05103
2021-04-30 12:00:00; 15,57587; 224,19533;   8,74201;   2,31443;  23,25098;   1,56593;   0,00000;  14,74968; 343,12890;  55,41153;  10,05906
2021-04-30 14:00:00; 16,44295; 199,40393;   8,63312;   2,60871;  24,43988;   1,71028;   0,00000;  14,74408; 330,76260;  50,11511;  10,04230
2021-04-30 16:00:00; 16,85434; 124,82870;   8,55326;   1,07609;  23,95227;   0,67930;   0,00000;  14,74526;  90,68347;  53,41931;  10,04230
2021-04-30 17:00:00; 16,82616;  92,61777;   8,54895;   0,97728;  21,74108;   0,63382;   0,00000;  14,74574;  13,31660;  60,67517;  10,04350
2021-04-30 15:00:00; 16,70647; 147,98457;   8,59371;   1,76808;  24,49481;   1,10846;   0,00000;  14,74337; 234,77881;  51,73412;  10,04230
2021-04-30 11:00:00; 15,09725; 213,55081;   8,79495;   2,42713;  23,27206;   1,49319;   0,00000;  14,75011; 484,75418;  56,56778;  10,05638
2021-04-30 18:00:00; 16,63124;  70,22118;   8,54695;   0,81531;  19,32095;   0,61723;   0,00000;  14,74518;   0,00000;  71,04449;  10,04902
2021-04-30 10:00:00; 14,60941; 238,66165;   8,85117;   2,48076;  22,18729;   1,46770;   0,00000;  14,75217; 362,48070;  61,69920;  10,07038
2021-04-30 13:00:00; 15,97081; 209,62897;   8,68752;   2,63511;  24,42100;   1,89227;   0,00000;  14,74512; 516,55030;  50,50571;  10,05156
2021-04-30 09:00:00; 14,29629; 303,26202;   8,89773;   2,07324;  21,35589;   1,32899;   0,00000;  14,75616; 293,67100;  64,44761;  10,07323
2021-04-30 06:00:00; 13,47691; 166,14670;   9,02963;   1,47272;  17,31535;   0,91852;   0,00000;  14,75084; 223,04350;  82,79385;  10,09196
2021-04-30 08:00:00; 14,01346; 214,50832;   8,94344;   2,91632;  21,05614;   2,04292;   0,00000;  14,75435; 158,07472;  65,51636;  10,07336
2021-04-30 07:00:00; 13,72268; 203,16970;   8,99644;   2,34547;  19,76942;   1,74011;   0,00000;  14,75393; 147,55428;  70,20858;  10,07891
2021-04-30 03:00:00; 13,42528; 130,34433;   9,05357;   0,89643;  13,70600;   0,61914;   0,00000;  14,75134;   0,58343;  95,12988;  10,09548
2021-04-30 04:00:00; 13,38728; 146,16841;   9,04688;   0,95196;  14,28760;   0,73867;   0,00000;  14,75145;  19,37218;  92,97949;  10,09697
2021-04-30 05:00:00; 13,38617; 148,81377;   9,04300;   0,79081;  14,87693;   0,46030;   0,00000;  14,75268;  42,50164;  91,95672;  10,09790
2021-04-30 01:00:00; 13,53031;  88,30441;   9,05591;   1,15803;  12,70729;   0,74334;   0,00000;  14,75501;   0,00000;  99,85837;  10,08715
2021-04-30 02:00:00; 13,47224; 133,67975;   9,06025;   1,02546;  13,60548;   0,72642;   0,00000;  14,75416;   0,00000;  96,87946;  10,08945
2021-04-30 00:00:00; 13,60668;  88,08488;   9,05719;   1,01947;  12,36968;   0,58320;   0,00000;  14,75530;   0,00000;  99,99799;  10,08135
2021-04-29 22:00:00; 13,94305;  56,67941;   9,06990;   1,02165;  11,19296;   0,72177;   0,00000;  14,75750;   0,00000;  99,86018;  10,07408
2021-04-29 23:00:00; 13,73781;  55,83272;   9,06536;   1,03689;  11,56190;   0,76636;   0,00000;  14,75645;   0,00000;  99,99799;  10,07663
2021-04-30 21:00:00; 15,89709;  52,96631;   8,53978;   0,74861;  16,24419;   0,58501;   0,00000;  14,75154;   0,00000;  82,11814;  10,07290
2021-04-30 20:00:00; 16,13154;  52,05756;   8,53259;   0,82728;  16,53390;   0,52604;   0,00000;  14,74835;   0,00000;  81,26205;  10,07290
2021-04-30 19:00:00; 16,38452;  58,83739;   8,54132;   0,66449;  17,68984;   0,47949;   0,00000;  14,74715;   0,00000;  77,33663;  10,06957
2021-04-29 19:00:00; 14,63567;  57,92770;   9,07824;   0,80224;  14,10930;   0,56649;   0,00000;  14,75693;   0,00000;  94,20163;  10,07221
2021-04-29 20:00:00; 14,41695;  45,80571;   9,06932;   0,61059;  12,90099;   0,37882;   0,00000;  14,75859;   0,00000;  97,04052;  10,07340
2021-04-29 21:00:00; 14,18164;  19,21178;   9,06396;   0,61005;  11,78937;   0,32002;   0,00000;  14,75715;   0,00000;  98,93395;  10,07320
2021-04-29 10:00:00; 12,81095; 127,75910;   9,17398;   2,69827;  19,48088;   1,89945;   0,00000;  14,75682; 623,12130;  76,48268;  10,05669
2021-04-29 11:00:00; 13,57723; 155,04918;   9,12779;   2,65199;  22,00865;   1,96608;   0,00000;  14,75240; 649,06510;  63,81363;  10,04274
2021-04-29 12:00:00; 14,35069; 172,46167;   9,06979;   2,96886;  23,06323;   2,08212;   0,00000;  14,74930; 528,05380;  56,13121;  10,04444
2021-04-29 16:00:00; 15,06679;  96,71608;   9,09407;   1,83559;  17,37615;   1,28059;   0,00000;  14,75693;  44,44600;  85,61784;  10,05432
2021-04-29 14:00:00; 15,15730; 174,73962;   9,03792;   2,84772;  20,40004;   2,01720;   0,07246;  14,75166;  82,80437;  70,28056;  10,03858
2021-04-29 15:00:00; 15,13919; 123,90659;   9,09222;   1,84975;  17,38815;   1,33302;   0,00000;  14,75560;  73,50301;  83,87817;  10,03972
2021-04-29 13:00:00; 14,91774; 175,82376;   9,02785;   2,59482;  22,73123;   1,84885;   0,00000;  14,74967; 264,82150;  56,51971;  10,04508
2021-04-29 17:00:00; 14,99143;  92,62675;   9,08636;   1,67281;  16,89616;   1,20717;   0,00000;  14,75593;   8,02100;  83,32621;  10,06060
2021-04-29 18:00:00; 14,84119;  80,85719;   9,07836;   1,33035;  15,53403;   0,98495;   0,00000;  14,75788;   0,00000;  88,59812;  10,06174
2021-04-29 09:00:00; 12,32495; 129,07469;   9,21909;   2,79844;  16,40523;   1,79179;   0,00000;  14,76222; 337,18295;  86,19025;  10,07212
2021-04-29 08:00:00; 11,97441; 112,67674;   9,23676;   2,81233;  14,48267;   1,89426;   0,00000;  14,76327; 259,59216;  91,78194;  10,07264
2021-04-29 07:00:00; 11,77593; 129,97238;   9,23758;   2,08223;  12,61494;   1,45636;   0,00000;  14,76654; 118,76748;  96,56622;  10,07281
2021-04-29 05:00:00; 11,66553; 141,82070;   9,24737;   2,00002;  10,97078;   1,36588;   0,00000;  14,76955;  49,30039;  99,44553;  10,07273
2021-04-29 06:00:00; 11,68633; 140,45987;   9,24420;   1,81164;  11,70443;   1,26255;   0,00000;  14,76861;  80,44445;  98,40766;  10,07281
