DATE; Széllökés; Talajnedvesség 90 cm; Külső akkufeszültség; Belső akkufeszültség; Fagy; Szélsebesség; Talajnedvesség 120 cm; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Talajhőmérséklet 0 cm; Levegő-páratartalom; Napelem töltőfeszültség; Csapadék; Légnyomás; Besugárzás; Levegő-hőmérséklet; Fényegység; Szélirány; Levélnedvesség; Csapadék Számláló
2021-04-29 22:00:00; 19,16667;  26,54000;  12,89608;   4,24700;-9999,00000;  13,50000;-9999,00000;  24,39800;  27,14492;-9999,00000;  79,79000;   0,00000;   0,00000;1000,17500;   0,00000;  13,60000;   0,00000; 185,08075;   0,00000;-9999,00000
2021-04-30 21:00:00; 5,27273;  26,30200;  12,89133;   4,24783;-9999,00000;   3,36364;-9999,00000;  24,27899;  26,66891;-9999,00000;  75,31454;   0,00000;   0,00000;1001,15454;   0,00000;  13,82727;   7,41667; 160,72504;   0,00000;-9999,00000
2021-04-30 20:00:00; 5,23077;  26,30200;  12,91392;   4,24939;-9999,00000;   3,30769;-9999,00000;  24,27899;  26,69866;-9999,00000;  72,96000;   0,00000;   0,00000;1000,96155;   0,00000;  14,89231; 417,30768; 160,71289;   0,00000;-9999,00000
2021-04-30 19:00:00; 4,18182;  26,30200;  12,93600;   4,25054;-9999,00000;   2,63636;-9999,00000;  24,27899;  26,76718;-9999,00000;  71,33454;   0,00000;   0,00000;1000,89996;   0,00000;  16,18182; 354,09090; 160,69296;   0,00000;-9999,00000
2021-04-30 18:00:00; 3,50000;  26,30200;  12,96875;   4,25133;-9999,00000;   2,00000;-9999,00000;  24,27899;  26,77799;-9999,00000;  67,38232;   0,62792;   0,00000;1000,58466;   0,00000;  17,64615; 989,08330; 232,89047;   0,00000;-9999,00000
2021-04-30 17:00:00; 4,66667;  26,30200;  13,01333;   4,25467;-9999,00000;   3,00000;-9999,00000;  24,27899;  26,75054;-9999,00000;  58,56083;  13,84392;   0,00000;1000,14996;  22,08333;  20,38333;2860,58330; 250,60706;   0,00000;-9999,00000
2021-04-30 16:00:00; 10,41667;  26,30200;  13,19383;   4,25800;-9999,00000;   7,41667;-9999,00000;  24,27899;  26,77799;-9999,00000;  51,32500;  18,14067;   0,00000; 999,97504; 127,08334;  23,07500;3895,00000; 257,78915;   0,00000;-9999,00000
2021-04-30 15:00:00; 20,54545;  26,30200;  13,33083;   4,25833;-9999,00000;  13,63636;-9999,00000;  24,27899;  26,77800;-9999,00000;  47,37416;  20,00533;   0,00000;1000,23334; 307,50000;  23,96667;3895,00000; 256,99228;   0,00000;-9999,00000
2021-04-30 14:00:00; 26,90909;  26,30200;  13,33467;   4,25783;-9999,00000;  18,09091;-9999,00000;  24,27899;  26,77799;-9999,00000;  47,05455;  20,57283;   0,00000;1000,45450; 406,81818;  24,00909;3895,00000; 245,10297;   0,00000;-9999,00000
2021-04-30 13:00:00; 30,61538;  26,31191;  13,31758;   4,25925;-9999,00000;  22,23077;-9999,00000;  24,27899;  26,77799;-9999,00000;  46,66231;  20,52383;   0,00000;1000,58466; 433,07693;  23,84615;3895,00000; 238,05646;   0,00000;-9999,00000
2021-04-30 12:00:00; 31,00000;  26,41108;  13,34867;   4,25842;-9999,00000;  21,45455;-9999,00000;  24,27899;  26,77799;-9999,00000;  48,23728;  20,38908;   0,00000;1000,87270; 687,72730;  24,13636;3895,00000; 242,62906;   0,00000;-9999,00000
2021-04-30 11:00:00; 31,41667;  26,42099;  13,35542;   4,25800;-9999,00000;  22,25000;-9999,00000;  24,27899;  26,77799;-9999,00000;  50,01461;  20,70792;   0,00000;1001,48460; 580,38464;  23,48462;3895,00000; 235,55490;   0,00000;-9999,00000
2021-04-30 10:00:00; 28,58333;  26,42099;  13,38333;   4,25983;-9999,00000;  19,00000;-9999,00000;  24,27899;  26,77799;-9999,00000;  50,68834;  20,79892;   0,00000;1001,61670; 755,00000;  23,05833;3895,00000; 237,24289;   0,00000;-9999,00000
2021-04-30 09:00:00; 24,00000;  26,42099;  13,38233;   4,25900;-9999,00000;  14,63636;-9999,00000;  24,28891;  26,77799;-9999,00000;  57,56818;  20,31658;   0,00000;1002,00903; 766,25000;  21,76364;3895,00000; 237,71414;   0,00000;-9999,00000
2021-04-30 08:00:00; 14,76923;  26,42099;  13,46083;   4,26158;-9999,00000;   8,46154;-9999,00000;  24,36825;  26,88708;-9999,00000;  69,78000;  20,35083;   0,00000;1002,28460; 603,18180;  19,67692;3895,00000; 195,46767;   0,00000;-9999,00000
2021-04-30 07:00:00; 14,80000;  26,42099;  13,46350;   4,25817;-9999,00000;   8,90000;-9999,00000;  24,39800;  26,89700;-9999,00000;  80,15636;  20,83308;   0,00000;1002,38184; 449,54544;  17,31818;3895,00000; 190,66434;   0,00000;-9999,00000
2021-04-30 06:00:00; 12,83333;  26,42099;  13,49450;   4,25808;-9999,00000;   8,16667;-9999,00000;  24,39800;  26,89700;-9999,00000;  85,49000;  19,85975;   0,00000;1002,33075; 291,53845;  14,34615;3895,00000; 172,16707;   0,00000;-9999,00000
2021-04-30 05:00:00; 12,00000;  26,42099;  13,33475;   4,24017;-9999,00000;   7,38462;-9999,00000;  24,39800;  26,89700;-9999,00000;  87,18750;  18,18858;   0,00000;1002,14996;  90,83334;  12,71667;3895,00000; 174,80302;   0,00000;-9999,00000
2021-04-30 04:00:00; 14,81818;  26,42099;  12,90183;   4,24142;-9999,00000;   9,27273;-9999,00000;  24,39800;  26,89700;-9999,00000;  87,86834;  16,90408;   0,00000;1001,77496;  44,16667;  12,08333;3895,00000; 163,89445;   0,00000;-9999,00000
2021-04-30 03:00:00; 10,81818;  26,42099;  12,80817;   4,24108;-9999,00000;   7,09091;-9999,00000;  24,39800;  26,96642;-9999,00000;  88,92637;  10,75033;   0,01983;1001,29083;   1,81818;  11,82727; 853,83330; 170,31804;   0,00000;-9999,00000
