DATE; Légnyomás; Fagy; Napelem töltőfeszültség; Talajnedvesség 90 cm; Levegő-hőmérséklet; Széllökés; Talajnedvesség 30 cm; Talajnedvesség 60 cm; Fényegység; Talajnedvesség 120 cm; Csapadék; Külső akkufeszültség; Besugárzás; Levélnedvesség; Belső akkufeszültség; Szélsebesség; Levegő-páratartalom; Talajhőmérséklet 0 cm; Szélirány
2021-04-09 00:00:00; 1018,25555;-9999,00000;  11,52811;  34,27458;   6,03617;   4,87545;  30,24424;  32,57776;2175,89230;-9999,00000;   0,00000;  13,29801; 238,37413;   5,01742;   4,24681;   0,24199;  58,04699;   6,28475; 319,52847
2021-04-08 00:00:00; 1014,01840;-9999,00000;  11,39214;  34,26783;   2,66904;   5,90000;  30,32811;  32,66175;2164,56600;-9999,00000;   0,00076;  13,33349; 153,42105;   5,03496;   4,24711;   1,00357;  70,79153;   5,81773; 357,31903
2021-04-07 00:00:00; 1002,31760;-9999,00000;  11,54111;  34,27500;   3,44645;   4,60854;  30,38719;  32,76894;2203,03800;-9999,00000;   0,00000;  13,31523; 201,04895;   5,03496;   4,24706;   0,38790;  58,21799;   6,28866;   4,31260
2021-04-06 00:00:00; 996,92880;-9999,00000;   9,88563;  34,31589;   4,47128;   5,49110;  30,51470;  32,81284;1995,09380;-9999,00000;   0,00152;  13,18795;  75,15734;   5,03496;   4,24551;   1,08897;  68,61474;   7,22270; 347,82806
2021-04-05 00:00:00; 1003,01380;-9999,00000;  11,46663;  34,39396;   6,48551;   5,99644;  30,60494;  32,80664;2236,04860;-9999,00000;   0,00000;  13,26907; 227,77972;   5,01742;   4,24653;   0,57295;  55,47404;   7,66856; 345,82645
2021-04-04 00:00:00; 1009,08110;-9999,00000;  10,96168;  34,39396;   6,38901;   6,40925;  30,73716;  32,90812;2136,52780;-9999,00000;   0,00076;  13,22676; 133,95105;   5,03496;   4,24575;   1,16726;  66,49945;   8,50213;  58,16907
2021-02-02 00:00:00; 1004,74960;-9999,00000;   6,78075;  35,00931;  -0,11281;   2,03929;  32,58995;  33,33827;1526,53820;-9999,00000;   0,00457;  12,93809;  25,17544;   5,05263;   4,24001;   0,15714;  99,96983;   1,35623; 307,38070
2021-02-01 00:00:00; 995,59955;-9999,00000;   7,32500;  35,21010;  -1,31322;   3,43571;  32,84529;  33,34376;1538,73270;-9999,00000;   0,00611;  13,06906;  43,24561;   5,05263;   4,24412;   0,63571;  95,68986;   1,18541;  12,41814
2021-01-31 00:00:00; 995,56506;-9999,00000;   7,42776;  35,57849;   0,21495;  21,21429;  32,21647;  33,16594;1545,57980;-9999,00000;   0,00076;  13,10313;  44,29824;   5,03496;   4,24479;  12,05357;  90,02130;   2,34021;  91,73109
2021-01-30 00:00:00; 991,40190;-9999,00000;   8,16561;  35,70641;   7,11307;   2,75887;  32,79195;  33,27391;1583,29860;-9999,00000;   0,00000;  13,09378;  66,51568;   5,03496;   4,24310;   0,70922;  85,44119;   3,57350; 352,25696
2021-01-29 00:00:00; 993,51590;-9999,00000;   6,75458;  35,65366;   4,17411;   5,53737;  33,45471;  33,36824;1594,35770;-9999,00000;   0,01371;  12,98296;  27,09790;   5,01742;   4,24074;   2,22420;  97,03450;   1,85673; 333,62674
2021-01-04 00:00:00; 1004,34564;-9999,00000;   6,20534;  34,64753;   5,00461;   2,80142;  31,16959;  32,89254;1583,76040;-9999,00000;   0,00910;  12,90254;  28,98601;   5,03496;   4,24151;   1,08511;  98,39802;   4,11277; 187,61008
2021-01-03 00:00:00; 1005,89590;-9999,00000;   6,30290;  34,80083;   5,76572;   6,69751;  30,80842;  33,01238;1632,10770;-9999,00000;   0,00000;  12,90953;  31,55594;   5,03496;   4,24204;   2,35943;  89,13484;   4,27128; 228,03423
2021-01-02 00:00:00; 1008,48360;-9999,00000;   7,70143;  35,14245;   5,07837;  12,71174;  31,19530;  33,27599;1604,62160;-9999,00000;   0,00000;  13,03753;  54,93031;   5,01742;   4,23955;   5,73665;  82,52078;   4,14735; 231,21428
2021-01-14 00:00:00; 1001,54330;-9999,00000;   6,47977;  34,38718;   0,49893;  13,48043;  30,50250;  32,48674;1552,72910;-9999,00000;   0,00000;  12,94518;  31,59649;   5,03496;   4,24450;   7,46263;  83,05085;   1,13132; 345,30978
2021-02-04 00:00:00; 1005,50780;-9999,00000;   8,60045;  34,75098;   9,70846;   8,34276;  31,41315;  33,02353;1691,00700;-9999,00000;   0,00151;  13,11623;  87,44791;   5,01742;   4,24471;   2,51943;  76,97201;   5,47704; 343,12665
