DATE; Napelem töltőfeszültség; Külső akkufeszültség; Talajhőmérséklet 0 cm; Belső akkufeszültség; Levegő-hőmérséklet; Szélirány; Besugárzás; Fagy; Talajnedvesség 30 cm; Fényegység; Csapadék; Levélnedvesség; Széllökés; Légnyomás; Talajnedvesség 60 cm; Szélsebesség; Levegő-páratartalom; Talajnedvesség 90 cm
2021-04-30 23:50:00; 0,00000;  12,97250;-9999,00000;   4,22150;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;3895,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 22:00:00; 0,00000;  12,97200;-9999,00000;   4,22300;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;3114,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 22:10:00; 0,00000;  12,98400;-9999,00000;   4,22850;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;2334,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 22:20:00; 0,00000;  12,98200;-9999,00000;   4,22500;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;3116,50000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 22:30:00; 0,00000;  12,99200;-9999,00000;   4,22350;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;3113,50000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 22:40:00; 0,00000;  12,96800;-9999,00000;   4,22400;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;3137,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 22:50:00; 0,00000;  12,96250;-9999,00000;   4,22200;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;3112,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 23:00:00; 0,00000;  12,97050;-9999,00000;   4,22600;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;3113,50000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 23:10:00; 0,00000;  12,98000;-9999,00000;   4,22350;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;3895,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 23:20:00; 0,00000;  12,95650;-9999,00000;   4,22200;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;3108,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 23:30:00; 0,00000;  12,94300;-9999,00000;   4,22400;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;3895,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 23:40:00; 0,00000;  12,94900;-9999,00000;   4,22300;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;2327,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 17:50:00; 10,72400;  13,11200;-9999,00000;   4,22900;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;3567,50000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 18:00:00; 7,56600;  13,13700;-9999,00000;   4,22800;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;3895,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 18:10:00; 3,04000;  13,11400;-9999,00000;   4,22800;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;3895,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 18:20:00; 0,50450;  13,10600;-9999,00000;   4,22800;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;3895,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 18:30:00; 0,03500;  13,09850;-9999,00000;   4,22850;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;3895,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 18:40:00; 0,00000;  13,08850;-9999,00000;   4,22650;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;3131,50000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
