DATE; Levegő-páratartalom; Belső akkufeszültség; Napelem töltőfeszültség; Talajnedvesség 90 cm; Fagy; Talajnedvesség 30 cm; Talajhőmérséklet 0 cm; Talajnedvesség 60 cm; Csapadék; Szélirány; Légnyomás; Széllökés; Szélsebesség; Levegő-hőmérséklet; Fényegység; Besugárzás; Levélnedvesség; Külső akkufeszültség
2021-04-29 00:00:00; 82,88074;   4,22533;  11,37844;  27,39539;-9999,00000;  22,71944;  12,19303;  33,84680;   0,00000; 152,55876; 999,59990;  20,62245;  14,09694;  14,54565;2933,06960; 269,23468;   0,99502;  13,17163
2021-04-28 00:00:00; 84,72678;   4,22413;  10,59611;  27,45898;-9999,00000;  22,80174;  12,01965;  33,89841;   0,00076;  63,46281;1000,55426;   6,70922;   4,19149;  10,64821;2496,28120;  61,52482;   0,41522;  13,16528
2021-04-27 00:00:00; 73,11192;   4,22417;  11,32653;  27,49627;-9999,00000;  22,83432;  12,17059;  33,92297;   0,00000; 119,14037;1002,30524;   7,32270;   4,17021;  10,37993;2539,12160; 128,93239;   0,00000;  13,22071
2021-04-26 00:00:00; 63,20560;   4,22539;  11,19316;  27,57228;-9999,00000;  22,95332;  12,42527;  33,99503;   0,00151; 355,30273;1007,73376;  10,21708;   6,48399;   8,98889;2485,06930; 126,45390;   0,00000;  13,23247
2021-04-25 00:00:00; 53,95269;   4,22600;  11,50824;  27,66106;-9999,00000;  22,99116;  12,62896;  33,97940;   0,00000; 177,69836;1007,26760;  15,14085;   9,71831;  11,94626;2486,81930; 230,39008;   0,00000;  13,18688
2021-04-24 00:00:00; 58,92446;   4,22586;  11,82241;  27,70550;-9999,00000;  22,92560;  11,70244;  34,01566;   0,00000;  12,95805;1012,89610;   8,63701;   4,80071;   9,17734;2484,37500; 270,76514;   0,55749;  13,20082
2021-02-10 00:00:00; 95,82123;   4,05503;   7,08603;  31,22248;-9999,00000;  26,22373;   5,63464;  36,66431;   0,00683;  98,08032; 993,30080;   8,71882;   6,56885;   5,87464;1779,23890;  43,06924;   0,25366;  10,74493
2021-02-09 00:00:00; 96,10680;   4,04353;   7,15535;  30,88631;-9999,00000;  24,94789;   5,19658;  36,57999;   0,00365;  88,21948; 992,16320;   7,09517;   5,21341;   4,44892;1838,37500;  33,06567;   0,20642;  10,87461
2021-02-08 00:00:00; 93,12627;   4,11390;   6,76937;  28,07686;-9999,00000;  23,67337;   6,26327;  34,05845;   0,00425; 240,54926; 986,06665;  11,82637;   9,23199;   5,76949;1741,73610;  21,67261;   0,20613;  10,66983
2021-02-07 00:00:00; 96,75274;   4,15620;   6,84097;  27,34518;-9999,00000;  22,21728;   6,10472;  32,93226;   0,00091;  37,08691; 993,32837;   7,53132;   5,61483;   5,93904;1729,26570;  36,97575;   0,07098;  11,00553
2021-02-06 00:00:00; 97,14565;   4,17907;   6,92013;  27,49425;-9999,00000;  22,26239;   5,93541;  33,06407;   0,00000;   4,71295;1002,26556;   5,28479;   3,75919;   5,02526;1740,34720;  24,85724;   0,40529;  11,05594
2021-01-11 00:00:00; 93,30870;   4,09041;   6,38881;  27,03085;-9999,00000;  21,47387;   1,88084;  32,36682;   0,00000; 319,28983;1010,79750;   8,26522;   6,31957;  -0,88459;1704,91320;  26,79340;   0,00000;  10,78804
2021-01-10 00:00:00; 98,55642;   4,15122;   6,16091;  27,13507;-9999,00000;  21,60586;   2,18635;  32,50599;   0,00000; 356,45316;1012,68036;  10,46015;   8,10072;  -1,80007;1630,01600;  11,63075;   0,18022;  10,50835
2021-01-09 00:00:00; 92,90311;   4,19910;   7,69692;  27,23801;-9999,00000;  21,72397;   2,84561;  32,63124;   0,00000; 348,86975;1011,00183;   3,41999;   2,28675;   0,39139;1673,32080;  60,57706;   0,34594;  11,89580
2021-01-08 00:00:00; 93,97721;   4,19575;   6,48871;  27,35472;-9999,00000;  21,89658;   3,19672;  32,83776;   0,00000; 345,45510;1005,47974;   6,90521;   5,19175;   0,78135;1661,17710;  28,04441;   0,08258;  11,29895
2021-02-12 00:00:00; 68,11295;   4,18982;   9,27586;  29,75509;-9999,00000;  22,23879;   1,77744;  33,57242;   0,00000; 303,23320;1019,33234;  19,08006;  14,95196;  -5,88384;1913,16530; 103,67605;   0,10014;  11,94909
2021-02-11 00:00:00; 78,72872;   4,14192;   7,64199;  31,90093;-9999,00000;  28,47636;   4,30140;  37,02609;   0,00061; 299,25186;1005,09940;  32,61566;  25,92023;  -2,37434;1793,89230;  47,54853;   0,16982;  11,20506
2021-02-23 00:00:00; 82,97351;   4,22259;   9,56459;  26,93137;-9999,00000;  21,72697;   5,27414;  32,23204;   0,00000; 307,41446;1022,84510;   6,04251;   4,35447;   5,58872;2008,45200; 139,08994;   0,38746;  12,37732
2021-02-22 00:00:00; 78,65340;   4,22119;   9,44047;  26,95153;-9999,00000;  21,69295;   4,83596;  32,20461;   0,00000; 146,22348;1017,99927;   7,22822;   5,27358;   6,31696;1987,71370; 137,89943;   0,35421;  12,31081
2021-02-21 00:00:00; 84,79503;   4,20687;   9,07559;  27,00940;-9999,00000;  21,65824;   4,77191;  32,13142;   0,00000;  93,42050;1018,35620;  10,11175;   7,74117;   5,53768;1949,46600; 119,09415;   0,12056;  11,97244
2021-02-20 00:00:00; 93,34297;   4,21570;   7,76906;  27,01572;-9999,00000;  21,56391;   4,08987;  32,07657;   0,00000;  41,14625;1016,23280;   8,22639;   6,20187;   4,39479;1876,94520;  49,16429;   0,00000;  12,00299
2021-01-13 00:00:00; 82,74402;   4,20192;   8,04971;  26,89706;-9999,00000;  21,54839;   2,02413;  32,22700;   0,00000; 242,64243;1002,55365;  12,28778;   9,38395;   0,93981;1773,84720;  69,61676;   0,00000;  12,01533
