DATE; Napelem töltőfeszültség; Külső akkufeszültség; Talajnedvesség 60 cm; Talajnedvesség 90 cm; Talajhőmérséklet 0 cm; Belső akkufeszültség; Talajnedvesség 30 cm; Fényegység; Szélirány; Csapadék; Széllökés; Szélsebesség; Fagy; Besugárzás; Levegő-hőmérséklet; Levélnedvesség; Levegő-páratartalom; Légnyomás
2021-04-30 17:00:00; 14,92200;  13,15175;-9999,00000;-9999,00000;-9999,00000;   4,22683;-9999,00000;3840,41670;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 18:00:00; 1,85758;  13,10450;-9999,00000;-9999,00000;-9999,00000;   4,22783;-9999,00000;3637,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 19:00:00; 0,00000;  13,06025;-9999,00000;-9999,00000;-9999,00000;   4,22558;-9999,00000;3512,50000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 20:00:00; 0,00000;  13,02300;-9999,00000;-9999,00000;-9999,00000;   4,22558;-9999,00000;3765,41670;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 16:00:00; 18,81375;  13,27075;-9999,00000;-9999,00000;-9999,00000;   4,22858;-9999,00000;3895,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 14:00:00; 20,29708;  13,30467;-9999,00000;-9999,00000;-9999,00000;   4,22925;-9999,00000;3895,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 15:00:00; 20,10050;  13,31950;-9999,00000;-9999,00000;-9999,00000;   4,22833;-9999,00000;3895,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 12:00:00; 20,56225;  13,34192;-9999,00000;-9999,00000;-9999,00000;   4,22808;-9999,00000;3895,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 13:00:00; 20,22658;  13,31567;-9999,00000;-9999,00000;-9999,00000;   4,22717;-9999,00000;3895,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 07:00:00; 19,56325;  13,33017;-9999,00000;-9999,00000;-9999,00000;   4,22583;-9999,00000;3895,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 08:00:00; 20,21958;  13,39275;-9999,00000;-9999,00000;-9999,00000;   4,22608;-9999,00000;3895,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 09:00:00; 20,26167;  13,35842;-9999,00000;-9999,00000;-9999,00000;   4,22742;-9999,00000;3895,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 10:00:00; 20,71383;  13,36450;-9999,00000;-9999,00000;-9999,00000;   4,22850;-9999,00000;3895,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 04:00:00; 16,27808;  12,93667;-9999,00000;-9999,00000;-9999,00000;   4,22150;-9999,00000;3895,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 05:00:00; 16,95600;  13,11642;-9999,00000;-9999,00000;-9999,00000;   4,22125;-9999,00000;3895,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 06:00:00; 17,94808;  13,39842;-9999,00000;-9999,00000;-9999,00000;   4,22683;-9999,00000;3895,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-29 22:00:00; 0,00000;  12,97525;-9999,00000;-9999,00000;-9999,00000;   4,22408;-9999,00000;3363,08330;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-29 23:00:00; 0,00000;  12,95958;-9999,00000;-9999,00000;-9999,00000;   4,22308;-9999,00000;3496,08330;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 11:00:00; 20,76858;  13,36192;-9999,00000;-9999,00000;-9999,00000;   4,22992;-9999,00000;3895,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 00:00:00; 0,00000;  12,94900;-9999,00000;-9999,00000;-9999,00000;   4,22383;-9999,00000;3761,75000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 01:00:00; 0,00000;  12,94058;-9999,00000;-9999,00000;-9999,00000;   4,22358;-9999,00000;3364,08330;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 02:00:00; 0,00000;  12,94192;-9999,00000;-9999,00000;-9999,00000;   4,22208;-9999,00000;3761,16670;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 03:00:00; 6,47717;  12,93667;-9999,00000;-9999,00000;-9999,00000;   4,22283;-9999,00000;3525,50000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-30 21:00:00; 0,00000;  12,99783;-9999,00000;-9999,00000;-9999,00000;   4,22433;-9999,00000;3634,91670;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000;-9999,00000
2021-04-28 20:00:00; 0,00000;  12,98236;  33,86391;  27,37300;  12,26364;   4,22327;  22,85100; 354,36365;  72,14069;   0,00000;   1,90909;   0,54545;-9999,00000;   0,00000;  10,69000;   5,00000;  97,17100;1000,08997
2021-04-28 21:00:00; 0,00000;  12,96231;  33,83561;  27,37299;  12,12308;   4,22385;  22,83116;   1,38462;  91,47297;   0,00000;   1,15385;   0,15385;-9999,00000;   0,00000;  10,60000;   5,00000;  97,64153;1000,22310
2021-04-28 11:00:00; 18,75417;  13,36392;  33,91799;  27,49200;  11,96667;   4,22675;  22,69954;3895,00000;  63,10927;   0,00000;  11,33333;   7,50000;-9999,00000; 110,45454;  12,04546;   0,00000;  82,77636;1000,69995
2021-04-28 12:00:00; 18,98800;  13,36350;  33,90808;  27,49200;  12,14167;   4,22542;  22,73200;3895,00000;  57,36716;   0,00000;  14,00000;   9,41667;-9999,00000; 116,66666;  12,21667;   0,00000;  83,16916;1000,35004
2021-04-28 13:00:00; 18,01742;  13,37658;  33,88554;  27,49200;  12,29091;   4,22642;  22,73200;3895,00000;  54,50819;   0,00000;  12,63636;   8,63636;-9999,00000;  95,45454;  12,14546;   0,00000;  85,74364;1000,08185
2021-04-28 14:00:00; 17,28092;  13,36842;  33,85392;  27,45538;  12,38462;   4,22542;  22,74115;3895,00000;  57,48133;   0,00000;  11,08333;   7,41667;-9999,00000;  78,07692;  12,17500;   0,00000;  86,49583; 999,88330
2021-04-28 15:00:00; 17,74367;  13,34825;  33,85849;  27,44241;  12,40000;   4,22758;  22,79150;3895,00000;  65,79305;   0,00000;  11,08333;   7,58333;-9999,00000;  99,54546;  12,25833;   0,00000;  88,14666; 999,67505
2021-04-28 18:00:00; 0,45767;  13,03975;  33,84227;  27,37300;  12,40000;   4,22467;  22,85100; 716,41670;  90,00565;   0,00000;   3,27273;   1,90909;-9999,00000;   0,00000;  11,15000;   0,00000;  94,84000; 999,99994
