DATE; Napelem töltőfeszültség; Levegő-hőmérséklet; Talajhőmérséklet 0 cm; Talajnedvesség 90 cm; Szélirány; Csapadék; Szélsebesség; Talajnedvesség 120 cm; Talajnedvesség 30 cm; Belső akkufeszültség; Besugárzás; Légnyomás; Levegő-páratartalom; Talajnedvesség 60 cm; Külső akkufeszültség; Fagy; Levélnedvesség; Fényegység; Széllökés
2021-04-28 00:00:00; 10,92898;  11,70737;  10,54262;  21,78162;  89,12576;   0,00000;   2,31183;-9999,00000;  24,02298;   4,20539;  90,58099;1002,18870;  74,59383;-9999,00000;  13,09322;-9999,00000;   0,99303;2293,71530;   5,30824
2021-04-27 00:00:00; 11,89483;  11,25193;  10,34014;  21,84408;  58,39298;   0,00000;   3,74910;-9999,00000;  24,09217;   4,20800; 201,26761;1003,47644;  49,96733;-9999,00000;  13,17920;-9999,00000;   0,00000;2368,60420;   7,82796
2021-04-26 00:00:00; 12,03543;   9,06620;  10,20248;  21,89896;  48,57270;   0,00000;   4,03957;-9999,00000;  24,19493;   4,20824; 226,27208;1008,70640;  53,56710;-9999,00000;  13,19658;-9999,00000;   0,00000;2304,79520;   8,96043
2021-04-25 00:00:00; 11,96528;  10,83052;   9,76537;  21,90106; 300,44806;   0,00083;   3,51613;-9999,00000;  24,19403;   4,20937; 243,57394;1008,58640;  64,47401;-9999,00000;  13,14959;-9999,00000;   1,09756;2401,26050;   8,25806
2021-04-24 00:00:00; 12,16247;   9,04526;   9,88835;  21,93432;   5,47638;   0,00000;   3,34409;-9999,00000;  24,24665;   4,20923; 260,93310;1013,60547;  61,18580;-9999,00000;  13,18864;-9999,00000;   0,00000;2373,14580;   7,12186
2021-04-23 00:00:00; 11,91247;   9,96585;  10,91832;  21,93209; 318,25705;   0,00000;   4,80287;-9999,00000;  24,27894;   4,20937; 200,47704;1012,06934;  63,99715;-9999,00000;  13,17388;-9999,00000;   0,00000;2333,54520;   9,53763
2021-01-27 00:00:00; 7,82656;  -1,43617;   2,81566;  23,70485; 339,08560;   0,00000;   1,58333;-9999,00000;  30,80750;   4,20015;  43,18505;1005,01780;  93,52671;-9999,00000;  12,98056;-9999,00000;   0,38732;1608,58680;   3,83696
2021-01-25 00:00:00; 6,95875;   2,67350;   5,05532;  25,07401; 282,85034;   0,03841;   8,06498;-9999,00000;  32,20181;   4,20271;  34,02482; 990,81590;  91,49400;-9999,00000;  12,88340;-9999,00000;   2,22807;1532,38540;  15,42960
2021-01-24 00:00:00; 7,34094;   7,48064;   5,85604;  22,88733; 199,61975;   0,03980;   5,81004;-9999,00000;  30,37117;   4,20355;  36,18375; 989,81210;  85,85959;-9999,00000;  12,88654;-9999,00000;   1,01045;1745,96880;  12,42652
2021-01-23 00:00:00; 6,89652;  10,30772;   5,15564;  22,85105; 180,61974;   0,00000;  11,15412;-9999,00000;  30,52686;   4,18296;  33,92606; 993,19604;  71,26724;-9999,00000;  12,85538;-9999,00000;   0,17422;1624,11800;  22,06810
