DATE; Levegő-hőmérséklet; Széllökés; Levélnedvesség; Talajhőmérséklet 0 cm; Besugárzás; Talajnedvesség 60 cm; Csapadék; Szélirány; Talajnedvesség 90 cm; Talajnedvesség 30 cm; Levegő-páratartalom; Szélsebesség
2021-03-19 00:00:00; 2,10390;   1,46231;-9999,00000;   4,85524; 131,86227;  50,69298;   0,00000; 325,27835;  27,42050;  32,26093;  76,13118;   0,96579
2021-03-18 00:00:00; 3,86859;   3,56492;-9999,00000;   5,19009;  74,67172;  50,89222;   0,00151; 327,69922;  27,44729;  32,53812;  75,97597;   2,78538
2021-03-17 00:00:00; 5,12481;   2,69144;-9999,00000;   5,77327; 104,99728;  51,04854;   0,00000; 307,62054;  27,26387;  32,87061;  77,33190;   1,98889
2021-03-16 00:00:00; 6,36252;   3,31618;-9999,00000;   5,71176; 116,46948;  51,18761;   0,00000; 308,67493;  27,13546;  33,01299;  66,97056;   2,54488
2021-03-15 00:00:00; 5,57475;   4,60631;-9999,00000;   6,18564;  38,16358;  51,36069;   0,02566; 346,05457;  27,04025;  32,96062;  86,07173;   3,87760
2021-03-14 00:00:00; 7,82352;   1,91053;-9999,00000;   6,87066;  71,09999;  51,32509;   0,01057; 278,14300;  26,97288;  32,55331;  90,02377;   1,41982
2021-01-02 00:00:00; 4,82652;   1,49838;-9999,00000;   5,92052;  63,64104;  54,02164;   0,00000; 112,91803;  25,55201;  36,92183;  87,27745;   1,05622
2021-02-06 00:00:00; 4,74342;   1,45184;   0,00000;   5,52871;  12,31544;  54,63449;   0,00151;   5,28261;  29,16377;  36,01917;  99,99804;   1,05241
2021-02-05 00:00:00; 5,92008;   0,85200;-9999,00000;   5,45681;  21,86504;  54,82529;   0,00302;  81,00347;  29,33595;  36,09354;  97,65900;   0,51606
2021-01-07 00:00:00; 2,50022;   0,93073;-9999,00000;   5,58554;  61,84952;  54,17097;   0,00151; 248,70987;  29,12521;  36,52375;  93,90512;   0,61229
2021-01-21 00:00:00; 4,68443;   1,96313;-9999,00000;   3,06789;  76,35953;  51,07265;   0,00000; 155,01549;  28,17162;  34,70414;  89,43982;   1,48253
2021-02-26 00:00:00; 10,46832;   0,70335;-9999,00000;   6,59372; 131,76309;  53,34491;   0,00151; 103,72330;  27,42970;  34,88330;  79,69533;   0,42548
2021-01-06 00:00:00; 4,32653;   1,41924;-9999,00000;   5,95530;  23,62814;  54,25377;   0,00151; 119,03484;  28,64168;  36,95507;  98,36865;   0,99173
2021-01-05 00:00:00; 4,90664;   2,17118;-9999,00000;   6,38876;  22,93949;  54,02063;   0,00604; 203,47989;  27,96443;  37,67345;  98,59345;   1,53696
2021-01-04 00:00:00; 5,72021;   1,13908;-9999,00000;   6,11133;  22,49780;  53,48094;   0,03170;  21,82871;  27,64791;  36,78052;  99,18277;   0,77049
2021-01-03 00:00:00; 6,09447;   1,26634;-9999,00000;   6,05796;  28,61141;  53,62472;   0,00000; 125,90018;  27,13839;  36,59042;  93,01602;   0,84411
2021-01-15 00:00:00; -1,70983;   1,76614;-9999,00000;   2,45809;  36,83870;  52,10268;   0,00000; 272,39240;  28,76747;  34,77013;  89,99380;   1,29582
2021-01-14 00:00:00; 0,57086;   2,16932;-9999,00000;   3,06783;  35,52111;  52,24005;   0,00000; 246,61679;  28,79919;  35,13371;  85,63714;   1,59356
2021-01-25 00:00:00; 1,89125;   2,82961;-9999,00000;   4,16089;  61,84532;  55,72187;   0,08454; 227,60637;  32,80481;  37,94381;  93,74064;   2,16735
2021-01-24 00:00:00; 6,02644;   2,39079;-9999,00000;   5,48658;  45,70091;  52,10961;   0,12077; 156,15097;  28,49172;  35,73021;  93,28406;   1,84935
2021-01-23 00:00:00; 8,87422;   2,53491;-9999,00000;   5,31574;  16,84922;  51,81523;   0,00453; 153,71977;  28,34360;  35,20295;  83,31209;   1,86499
2021-01-22 00:00:00; 7,11965;   2,08315;-9999,00000;   4,25681;  37,48585;  51,41519;   0,00000; 155,18372;  28,21846;  34,97449;  88,66489;   1,55364
2021-01-28 00:00:00; -1,90686;   0,92487;-9999,00000;   2,33296;  75,96424;  54,10557;   0,00000; 218,57457;  29,61004;  34,86191;  90,10333;   0,59797
2021-02-20 00:00:00; 3,10153;   1,46091;-9999,00000;   4,07869;  20,99006;  52,81023;   0,02114;  15,22104;  27,23787;  35,16298;  98,61469;   1,01910
2021-02-19 00:00:00; 4,09499;   1,52209;-9999,00000;   3,50461;  60,03749;  52,69769;   0,00151; 141,52977;  27,33725;  34,80728;  92,06494;   1,09755
2021-02-14 00:00:00; -2,67851;   1,95974;-9999,00000;   1,31000; 109,14580;  53,78576;   0,00000; 314,14580;  28,11317;  33,04436;  78,06156;   1,49567
2021-02-13 00:00:00; -6,22304;   1,28171;-9999,00000;   1,71865; 124,52512;  54,56377;   0,00000; 307,99710;  28,53639;  33,78435;  72,68192;   0,84499
2021-02-12 00:00:00; -6,24841;   1,90211;-9999,00000;   2,69799;  94,05070;  55,62310;   0,00000; 295,61505;  29,18444;  35,51297;  77,01127;   1,31940
2021-01-11 00:00:00; -0,64985;   1,82953;-9999,00000;   2,79803;  22,29132;  52,57506;   0,00151; 349,29376;  29,09248;  34,77428;  98,11911;   1,47850
2021-01-10 00:00:00; -1,97761;   2,93788;-9999,00000;   3,05729;   9,56637;  52,96699;   0,00000;   1,07929;  29,24387;  35,03465;  99,92791;   2,32270
2021-01-09 00:00:00; -0,91692;   0,64026;-9999,00000;   3,73602;  65,22934;  53,40351;   0,00000; 346,55884;  29,32133;  35,49326;  95,85555;   0,37508
2021-01-08 00:00:00; 0,31631;   1,36083;-9999,00000;   4,51350;  20,28742;  53,85852;   0,00000; 347,01490;  29,33280;  35,96376;  98,56936;   1,02265
2021-01-31 00:00:00; 0,48778;   4,41934;-9999,00000;   3,67912;  29,16968;  54,87997;   0,00906;   1,94911;  30,20211;  35,89433;  93,60891;   3,63859
2021-01-30 00:00:00; 9,03594;   1,96778;-9999,00000;   5,16365;  90,11204;  55,14274;   0,00000; 198,72662;  30,62287;  36,14712;  87,91219;   1,43880
