DATE; Széllökés; Talajnedvesség 30 cm; Talajnedvesség 90 cm; Besugárzás; Csapadék; Talajnedvesség 60 cm; Szélsebesség; Levegő-páratartalom; Levegő-hőmérséklet; Talajhőmérséklet 0 cm; Szélirány; Levélnedvesség
2021-04-30 19:00:00; 0,13012;  26,25636;  27,40464;   0,00000;   0,00000;  40,77618;   0,01919;  87,98037;  15,39526;  13,60758;  10,28799;-9999,00000
2021-04-30 20:00:00; 0,28474;  26,22792;  27,40470;   0,00000;   0,00000;  40,79135;   0,09815;  92,89500;  13,93575;  13,41068;  26,95656;-9999,00000
2021-04-30 17:00:00; 0,49218;  26,25380;  27,36200;  12,02886;   0,00000;  40,72983;   0,22225;  64,35081;  20,80669;  13,86610;  82,05943;-9999,00000
2021-04-30 18:00:00; 0,13039;  26,22228;  27,37320;   0,00000;   0,00000;  40,75253;   0,05927;  81,39977;  17,32193;  13,77234;  47,66785;-9999,00000
2021-04-30 21:00:00; 0,45570;  26,21758;  27,41290;   0,00000;   0,00000;  40,81266;   0,20032;  93,60754;  13,54739;  13,20504;  66,97832;-9999,00000
2021-04-29 22:00:00; 1,09270;  26,30202;  27,38848;   0,00000;   0,00000;  40,87696;   0,79535;  96,11948;  13,87017;  12,08830; 167,83807;-9999,00000
2021-04-29 23:00:00; 1,92597;  26,32239;  27,37671;   0,00000;   0,32609;  40,89362;   1,29350;  94,30411;  13,80323;  12,01092; 187,80977;-9999,00000
2021-04-30 00:00:00; 1,50022;  26,33945;  27,39110;   0,30326;   0,00000;  40,90813;   1,03201;  96,49030;  12,91172;  11,95650; 170,40164;-9999,00000
2021-04-30 01:00:00; 0,84280;  26,32949;  27,40470;   0,00000;   0,03623;  40,91242;   0,54008;  99,23623;  11,88749;  11,89331; 155,85971;-9999,00000
2021-04-30 02:00:00; 1,04969;  26,31127;  27,42817;   0,00000;   0,00000;  40,93312;   0,80229;  99,24583;  11,66702;  11,81780; 158,22044;-9999,00000
2021-04-30 03:00:00; 1,51111;  26,30247;  27,44733;   2,33201;   0,00000;  40,93143;   1,08007;  98,84692;  11,75531;  11,73917; 165,57277;-9999,00000
2021-04-30 04:00:00; 1,23181;  26,33043;  27,44740;   9,08023;   0,14493;  40,94723;   0,81157;  99,34672;  11,68751;  11,66682; 150,81238;-9999,00000
2021-04-30 05:00:00; 1,09869;  26,34232;  27,44597;  98,18533;   0,00000;  40,98014;   0,70005;  99,98551;  12,27464;  11,60801; 156,01402;-9999,00000
2021-04-30 06:00:00; 0,94842;  26,33771;  27,45538; 211,77812;   0,00000;  40,98090;   0,65520;  95,66831;  14,53892;  11,59453; 150,03879;-9999,00000
2021-04-30 07:00:00; 1,38861;  26,36817;  27,44761; 413,83752;   0,00000;  40,98700;   0,81585;  87,14014;  17,69200;  11,65979; 161,65869;-9999,00000
2021-04-30 08:00:00; 2,35581;  26,38210;  27,44756; 663,61460;   0,00000;  40,98225;   1,47777;  76,24783;  20,08106;  11,83323; 180,47127;-9999,00000
