DATE; Széllökés; Fényegység; Napelem töltőfeszültség; Szélirány; Talajnedvesség 120 cm; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Levegő-hőmérséklet; Besugárzás; Talajnedvesség 90 cm; Levélnedvesség; Légnyomás; Belső akkufeszültség; Szélsebesség; Levegő-páratartalom; Fagy; Csapadék; Külső akkufeszültség; Talajhőmérséklet 0 cm
2021-04-30 17:00:00; 0,00000;3504,83330;  12,24925; 272,72717;-9999,00000;  27,25400;  24,65583;  20,62500;  24,16667;  16,65308;   0,00000; 994,65840;   4,24975;   0,00000;  58,59333;-9999,00000;   0,00000;  12,97642;  16,90833
2021-04-30 18:00:00; 0,91667; 108,41666;   0,47908; 137,93898;-9999,00000;  27,25400;  24,87399;  17,78334;   0,00000;  16,69274;   0,00000; 995,15840;   4,24883;   0,00000;  67,19916;-9999,00000;   0,00000;  12,94542;  16,52500
2021-04-30 21:00:00; 0,83333;  13,33333;   0,00000;  89,64819;-9999,00000;  27,25400;  26,00450;  15,25000;   0,00000;  16,27625;   0,00000; 995,75000;   4,24367;   0,00000;  78,48167;-9999,00000;   0,00000;  12,86533;  15,43333
2021-04-30 19:00:00; 1,90909; 328,91666;   0,00000; 154,83849;-9999,00000;  27,25400;  25,09217;  15,84167;   0,00000;  16,65308;   0,00000; 995,51660;   4,24650;   0,09091;  74,42499;-9999,00000;   0,00000;  12,91209;  16,10000
2021-04-30 20:00:00; 2,91667;   2,66667;   0,00000; 157,09671;-9999,00000;  27,25400;  25,27067;  15,68333;   0,00000;  16,87125;   0,00000; 995,73334;   4,24492;   0,41667;  75,36584;-9999,00000;   0,00000;  12,87958;  15,72500
2021-04-30 16:00:00; 3,00000;3895,00000;  16,79058; 270,97205;-9999,00000;  27,25400;  24,65583;  22,66667; 127,27273;  16,70266;   0,00000; 994,50000;   4,25283;   0,25000;  52,35416;-9999,00000;   0,00000;  13,02217;  17,21667
2021-04-30 15:00:00; 8,41667;3895,00000;  18,64175; 266,06780;-9999,00000;  27,25400;  24,66846;  22,90833; 245,41667;  16,55482;   0,00000; 994,85834;   4,25500;   1,66667;  49,73167;-9999,00000;   0,00000;  13,07700;  17,35455
2021-04-30 13:00:00; 11,33333;3895,00000;  20,62666; 265,33328;-9999,00000;  27,25400;  24,87400;  23,60833; 590,41670;  16,54400;   0,00000; 995,44995;   4,25458;   2,83333;  51,19166;-9999,00000;   0,00000;  13,17700;  16,94167
2021-04-30 14:00:00; 11,18182;3895,00000;  19,82258; 269,38525;-9999,00000;  27,25400;  24,75500;  23,97500; 465,41666;  16,33575;   0,00000; 995,15826;   4,25658;   2,72727;  47,97750;-9999,00000;   0,00000;  13,12158;  17,25000
2021-04-30 12:00:00; 8,75000;3895,00000;  20,54150; 279,62940;-9999,00000;  27,25400;  24,96325;  23,02500; 500,83334;  16,49441;   0,00000; 995,85834;   4,25708;   1,41667;  52,41167;-9999,00000;   0,00000;  13,21508;  16,52500
