DATE; Napelem töltőfeszültség; Levegő-hőmérséklet; Levegő-páratartalom; Légnyomás; Széllökés; Belső akkufeszültség; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Szélirány; Talajnedvesség 60 cm; Talajhőmérséklet 0 cm; Besugárzás; Fagy; Fényegység; Csapadék; Levélnedvesség; Szélsebesség; Külső akkufeszültség
2021-04-23 00:00:00; 12,18421;   9,74455;  62,83226;1012,78720;  11,68440;   4,23536;  25,46875;  29,47902; 302,23282;  25,48561;  11,11771; 228,63637;-9999,00000;2424,82800;   0,00000;   0,02010;   8,69662;  13,29709
2021-04-22 00:00:00; 11,54502;  12,37857;  71,98438;1008,15656;  18,18476;   4,23399;  25,46318;  29,66738; 210,68109;  25,69714;  11,57345; 219,24232;-9999,00000;2407,56880;   0,00235;   0,25069;  14,52480;  13,24726
2021-04-21 00:00:00; 11,81635;  11,04500;  76,92557;1006,94696;   9,80603;   4,23544;  25,31309;  29,90624; 207,04428;  25,98806;  10,92042; 232,58210;-9999,00000;2491,01460;   0,00000;   0,25104;   7,39009;  13,29283
2021-04-20 00:00:00; 11,52954;   8,76389;  83,98473;1004,48500;   7,13741;   4,23534;  25,09091;  30,51382; 270,31464;  25,07295;   9,32867; 131,30252;-9999,00000;2416,88330;   0,00521;   0,29750;   5,26475;  13,30608
2021-04-18 00:00:00; 10,55976;   7,16088;  86,56257;1007,61750;   7,87518;   4,23064;  25,10650;  29,33360;  48,38207;  24,39498;   7,91206;  52,13885;-9999,00000;2349,28200;   0,00673;   0,00903;   5,81169;  13,27584
2021-04-17 00:00:00; 11,81255;   7,45576;  67,43394;1009,41820;   6,58099;   4,23719;  25,11160;  28,80026; 129,62987;  24,39832;   8,26635; 183,68956;-9999,00000;2420,47140;   0,00000;   0,00000;   4,58459;  13,36325
2021-01-25 00:00:00; 7,51117;   1,84595;  89,22836; 991,44670;  21,32875;   4,21390;  31,10207;  36,09559; 258,06238;  30,25687;   1,83190;  70,19704;-9999,00000;2112,83470;   0,00625;   0,30635;  16,83490;  13,00142
2021-01-26 00:00:00; 7,11131;   0,57688;  89,63411;1001,93810;   6,80783;   4,21354;  27,68937;  31,97080; 298,39740;  27,81020;   1,26948;  32,46827;-9999,00000;2283,54790;   0,00000;   0,00000;   4,85859;  12,94635
2021-01-24 00:00:00; 7,17184;   6,21578;  86,29100; 990,14075;  12,91198;   4,21159;  25,04442;  27,10659; 201,76767;  23,79333;   5,09366;  38,53787;-9999,00000;2199,34720;   0,00842;   0,00000;   9,97475;  12,94773
2021-01-23 00:00:00; 6,65320;   9,28793;  76,20779; 993,17340;  26,23453;   4,21073;  24,64558;  26,72077; 166,70580;  23,33007;   5,91348;  28,04545;-9999,00000;2296,66190;   0,00017;   0,00000;  20,86906;  12,89566
2021-01-22 00:00:00; 6,97452;   7,38718;  81,66771;1001,32290;  25,01154;   4,21454;  24,61779;  26,96450; 167,00847;  23,32699;   4,48632;  39,76891;-9999,00000;2164,83130;   0,00000;   0,00000;  19,88167;  13,04629
2021-01-28 00:00:00; 7,78605;  -0,98940;  85,84103;1002,70160;  12,29993;   4,21565;  26,43584;  29,66357; 219,52824;  26,37316;  -0,02122;  60,27542;-9999,00000;2287,78270;   0,00000;   0,00000;   9,37400;  13,14353
2021-01-10 00:00:00; 6,36555;  -1,92521;  96,78705;1014,43110;  13,30160;   4,21990;  25,64507;  27,10877;  31,25271;  23,58992;   0,08705;  17,84251;-9999,00000;2213,86820;   0,00000;   0,52134;  10,54579;  12,81231
2021-01-11 00:00:00; 6,44836;  -0,66683;  93,80687;1011,76733;   9,52574;   4,21639;  25,43954;  26,80920; 349,67032;  23,46277;   0,08833;  24,81651;-9999,00000;2138,60130;   0,00017;   0,05524;   7,34663;  12,73248
2021-01-09 00:00:00; 7,85328;  -0,93120;  92,82123;1012,75000;   4,43541;   4,22300;  25,76849;  27,23256; 241,48236;  23,83967;   0,64674;  73,96613;-9999,00000;2188,33540;   0,00000;   0,26294;   2,96444;  13,02470
2021-01-08 00:00:00; 6,51853;   0,12468;  93,67833;1007,38586;   8,02248;   4,22168;  25,99285;  27,44686;  19,90511;  24,10846;   1,09993;  20,22214;-9999,00000;2043,13270;   0,00000;   0,22711;   6,06091;  12,79395
2021-01-27 00:00:00; 8,66506;  -0,88440;  85,01714;1005,23280;   6,69231;   4,21699;  26,89656;  30,23677; 295,02270;  26,91032;   0,41549;  96,82075;-9999,00000;2354,24170;   0,00000;   0,00000;   4,70972;  13,16635
