DATE; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Széllökés; Szélirány; Talajhőmérséklet 0 cm; Levegő-hőmérséklet; Szélsebesség; Fagy; Fényegység; Talajnedvesség 90 cm; Levegő-páratartalom; Külső akkufeszültség; Légnyomás; Levélnedvesség; Besugárzás; Napelem töltőfeszültség; Belső akkufeszültség; Csapadék
2021-04-30 20:00:00; 24,99300;  29,03898;   4,65517; 121,08579;  15,81525;  14,57500;   3,58621;-9999,00000; 195,01666;  25,34998;  73,10833;  13,06630;1002,51196;   0,00000;   0,00000;   0,00000;   4,23663;   0,00000
2021-04-30 21:00:00; 24,99300;  29,01479;   3,94828; 123,84489;  15,34067;  13,79310;   2,96552;-9999,00000;   2,54237;  25,34998;  75,87209;  13,03603;1002,64300;   0,00000;   0,00000;   0,00000;   4,23632;   0,00000
2021-04-30 18:00:00; 24,99300;  29,18575;   4,18966;  40,15759;  17,49000;  17,64833;   3,13793;-9999,00000; 518,65000;  25,34998;  66,47767;  13,14255;1002,12640;   0,00000;   0,00000;   1,33297;   4,23755;   0,00000
2021-04-30 19:00:00; 24,99300;  29,10840;   4,20690; 121,89884;  16,47500;  15,30678;   3,17241;-9999,00000;1101,66660;  25,34998;  71,47543;  13,10498;1002,47470;   0,00000;   0,00000;   0,00000;   4,23702;   0,00000
2021-04-30 17:00:00; 24,99300;  29,16195;   3,60345; 301,62620;  18,53334;  20,72712;   2,34483;-9999,00000;3564,56670;  25,34998;  57,48933;  13,19528;1001,76227;   0,00000;  22,45763;  14,88460;   4,23758;   0,00000
2021-04-30 15:00:00; 24,99300;  29,15604;  22,06780; 255,30736;  18,82334;  23,67833;  17,94915;-9999,00000;3895,00000;  25,34998;  43,08450;  13,34242;1001,76530;   0,00000; 229,59016;  20,31560;   4,23745;   0,00000
2021-04-30 16:00:00; 24,99300;  29,15799;  11,94915; 274,14893;  18,89668;  23,00339;   9,38983;-9999,00000;3895,00000;  25,34998;  47,79034;  13,31442;1001,52740;   0,00000; 141,66667;  19,12557;   4,23862;   0,00000
2021-04-30 14:00:00; 24,96179;  29,11507;  26,57627; 251,44806;  18,63114;  23,95333;  21,91525;-9999,00000;3895,00000;  25,34998;  42,72934;  13,36770;1001,83673;   0,00000; 375,66666;  20,47625;   4,23620;   0,00000
2021-04-30 12:00:00; 24,87401;  28,99139;  28,39655; 246,18082;  17,95666;  23,52500;  22,82759;-9999,00000;3895,00000;  25,34998;  45,82449;  13,40295;1002,32495;   0,00000; 425,08334;  20,29830;   4,23867;   0,00000
2021-04-30 13:00:00; 24,89781;  29,04288;  27,43103; 247,32628;  18,30334;  23,52881;  22,53448;-9999,00000;3895,00000;  25,34998;  46,09796;  13,38977;1001,90340;   0,00000; 393,19672;  20,36675;   4,23797;   0,00000
