DATE; Széllökés; Talajnedvesség 90 cm; Talajnedvesség 60 cm; Csapadék; Talajnedvesség 30 cm; Fényegység; Levegő-páratartalom; Levélnedvesség; Belső akkufeszültség; Légnyomás; Fagy; Levegő-hőmérséklet; Napelem töltőfeszültség; Talajnedvesség 120 cm; Besugárzás; Szélsebesség; Talajhőmérséklet 0 cm; Külső akkufeszültség; Szélirány
2021-04-22 00:00:00; 5,19792;  20,55692;  16,23782;   0,00226;  17,59431; 740,17017;  73,00839;   0,78125;   4,24736;1002,60570;-9999,00000;  11,91007;  11,40496;-9999,00000; 202,11806;   2,15972;  12,92674;  13,15135; 266,15552
2021-04-21 00:00:00; 3,24306;  20,62759;  16,41425;   0,00075;  17,75300; 645,95483;  74,90942;   1,75347;   4,24740;1001,34656;-9999,00000;  11,08264;  11,59527;-9999,00000; 226,71875;   1,05556;  12,06736;  13,16392; 260,06820
2021-04-20 00:00:00; 2,82986;  20,68494;  16,68581;   0,00075;  18,14535; 533,01740;  85,94888;   3,50694;   4,24667; 999,34040;-9999,00000;   9,28472;  11,22270;-9999,00000; 150,34843;   0,76042;  10,83240;  13,14922; 325,27008
2021-04-19 00:00:00; 4,02787;  20,54373;  16,98199;   0,00076;  18,81160; 538,81600;  90,20410;   2,17770;   4,24566;1001,17530;-9999,00000;   8,03100;  10,71950;-9999,00000;  76,04166;   1,47387;   9,96528;  13,16594;  81,63813
2021-04-18 00:00:00; 3,58478;  20,34957;  16,15038;   0,01802;  18,07330; 482,31488;  89,85956;   3,01038;   4,24513;1002,38214;-9999,00000;   7,07543;  10,73104;-9999,00000;  68,01038;   1,21799;   9,46921;  13,16907;  69,05057
2021-04-17 00:00:00; 2,52778;  20,35204;  16,10066;   0,00000;  17,55883; 685,19100;  73,81047;   0,00000;   4,24639;1004,12726;-9999,00000;   7,40486;  11,29779;-9999,00000; 137,69098;   0,75694;   9,76320;  13,23570; 345,94250
2021-02-19 00:00:00; 2,56250;  20,12553;  15,44900;   0,00301;  16,43409; 353,06250;  91,96272;   1,92708;   4,24381;1009,00630;-9999,00000;   3,69619;   8,20261;-9999,00000;  51,80556;   0,81597;  -0,47917;  12,99967; 102,04102
2021-01-05 00:00:00; 5,02083;  20,27224;  16,17997;   0,00753;  17,73361; 375,04166;  96,77030;   2,18750;   4,24037; 997,27550;-9999,00000;   4,39340;   6,16771;-9999,00000;  21,77083;   1,52083;   4,30451;  12,56583; 254,05325
2021-01-04 00:00:00; 2,39931;  20,35204;  16,23325;   0,00452;  17,54563; 312,48430; 100,00000;   5,00000;   4,24177; 998,68066;-9999,00000;   4,03195;   6,34038;-9999,00000;  25,47038;   0,67361;   2,96076;  12,65114;  59,43378
2021-01-03 00:00:00; 4,56250;  20,36610;  16,43493;   0,00075;  17,77035; 353,84723;  92,60751;   2,27431;   4,24132; 999,97220;-9999,00000;   4,43750;   6,45955;-9999,00000;  31,19792;   1,79861;   2,98958;  12,66415; 112,65324
2021-01-02 00:00:00; 4,80488;  20,35368;  16,73902;   0,00000;  18,22245; 397,40973;  90,25457;   2,12544;   4,24007;1002,49360;-9999,00000;   3,66794;   7,04081;-9999,00000;  45,27778;   1,84669;   2,73611;  12,70345; 128,59737
2021-01-09 00:00:00; 0,37847;  20,23295;  16,05109;   0,00000;  17,25471; 436,63196;  97,12656;   4,06250;   4,24096;1007,26337;-9999,00000;  -1,43229;   7,32262;-9999,00000;  42,98611;   0,07639;   0,44549;  12,86508; 337,34943
2021-01-08 00:00:00; 0,93728;  20,30932;  16,14346;   0,00000;  17,43425; 377,96515;  96,88724;   4,05923;   4,23905;1002,19640;-9999,00000;  -0,52674;   6,46924;-9999,00000;  24,75610;   0,08711;   1,14216;  12,71123;   6,74659
2021-01-07 00:00:00; 2,49481;  20,33060;  16,18701;   0,00225;  17,60186; 403,22147;  93,93795;   3,54671;   4,24122;1001,01117;-9999,00000;   1,46528;   7,14723;-9999,00000;  41,50519;   0,38408;   2,23841;  12,80700; 295,62115
2021-01-14 00:00:00; 5,62153;  20,10073;  15,58994;   0,00075;  16,65602; 447,60764;  85,01728;   0,78125;   4,24353; 995,48220;-9999,00000;  -0,17882;   7,04218;-9999,00000;  37,11806;   1,50347;  -0,02431;  12,85190; 281,20447
2021-01-28 00:00:00; 4,41319;  19,85076;  15,58664;   0,00226;  17,08155; 442,68750;  87,07955;   2,13542;   4,24359; 996,68567;-9999,00000;  -1,05764;   7,31770;-9999,00000;  36,47569;   2,02778;  -0,24444;  13,01507; 237,12363
2021-01-15 00:00:00; 4,04844;  20,00782;  15,48781;   0,00000;  16,57859; 403,42560;  87,94342;   1,47059;   4,24320;1002,75490;-9999,00000;  -2,30278;   7,02803;-9999,00000;  37,43944;   1,11765;  -0,26817;  12,90509; 344,97714
2021-01-21 00:00:00; 10,38754;  19,80185;  15,06164;   0,00000;  15,93789; 430,22836;  77,88428;   0,00000;   4,24511;1000,26605;-9999,00000;   6,11944;   7,55306;-9999,00000;  48,44291;   5,55363;  -0,74533;  12,95966; 183,37892
2021-02-12 00:00:00; 6,07986;  20,64700;  16,81504;   0,00000;  18,12572; 504,59723;  68,06016;   2,04861;   4,24261;1014,07104;-9999,00000;  -6,12951;   8,97574;-9999,00000;  92,81250;   1,02778;   0,09444;  13,13352; 312,97430
2021-01-13 00:00:00; 6,56250;  20,11477;  15,66180;   0,00000;  16,75517; 408,94790;  82,65743;   0,10417;   4,24148; 997,64185;-9999,00000;   0,59132;   7,56620;-9999,00000;  43,94097;   1,90278;   0,13819;  12,89471; 256,00793
2021-01-12 00:00:00; 1,51042;  20,11394;  15,71426;   0,00000;  16,84020; 387,42710;  89,78635;   0,46875;   4,23799;1002,05930;-9999,00000;  -0,57500;   7,21139;-9999,00000;  38,64583;   0,34722;   0,41042;  12,80490; 350,21252
2021-01-11 00:00:00; 3,53125;  20,21269;  15,82714;   0,00000;  16,94933; 363,32640;  88,41229;   0,00000;   4,23991;1006,84735;-9999,00000;  -0,57951;   6,40801;-9999,00000;  22,20486;   1,09028;   0,31944;  12,60712;  14,82827
2021-01-10 00:00:00; 5,59375;  20,23295;  15,93040;   0,00000;  17,08322; 394,14584;  98,45138;   3,95833;   4,24127;1009,23285;-9999,00000;  -2,00972;   6,17963;-9999,00000;  11,00694;   1,47569;   0,10000;  12,57188;  41,24347
2021-01-27 00:00:00; 3,77778;  19,70868;  15,59201;   0,00000;  17,33321; 360,59027;  84,70205;   0,62500;   4,24480;1000,07056;-9999,00000;  -0,08333;   7,89364;-9999,00000;  50,48611;   0,55903;   0,08958;  13,05652; 304,42282
2021-01-26 00:00:00; 4,64931;  19,64628;  15,41804;   0,00000;  17,48777; 436,11110;  80,65646;   0,00000;   4,24485; 996,90040;-9999,00000;   0,67465;   7,66164;-9999,00000;  58,42014;   1,00347;   0,91354;  12,99398; 310,45425
2021-01-25 00:00:00; 4,86111;  19,64257;  15,11766;   0,01884;  16,77660; 486,73264;  90,05683;   3,05556;   4,24394; 986,78840;-9999,00000;   1,42847;   7,10732;-9999,00000;  40,55556;   1,09375;   1,37257;  12,87578; 296,11580
2021-01-24 00:00:00; 3,94444;  19,67477;  15,03917;   0,00527;  16,34441; 397,79860;  89,45956;   2,93403;   4,24293; 984,62335;-9999,00000;   4,45069;   7,18408;-9999,00000;  38,14236;   1,37500;   2,20139;  12,84395; 260,46980
2021-01-23 00:00:00; 8,64236;  19,67720;  14,99703;   0,00000;  16,13085; 401,06250;  83,01074;   0,74653;   4,24321; 986,66970;-9999,00000;   7,96528;   6,50711;-9999,00000;  27,65625;   4,59375;   1,95625;  12,78687; 166,94977
2021-01-22 00:00:00; 8,51568;  19,76112;  14,99951;   0,00227;  15,95688; 392,17075;  83,73712;   0,74913;   4,24479; 994,19490;-9999,00000;   6,62014;   6,79738;-9999,00000;  23,57143;   4,80836;  -0,56481;  12,82289; 167,60922
2021-03-05 00:00:00; 6,60764;  19,87598;  15,08707;   0,00076;  16,17297; 372,95140;  70,99519;   0,83624;   4,24475;1001,71875;-9999,00000;   6,73438;   9,13142;-9999,00000;  60,53819;   2,01042;   5,34514;-9999,00000; 298,89005
2021-01-20 00:00:00; 5,45486;  19,87598;  15,11599;   0,00000;  15,93537; 420,37152;  77,94862;   0,00000;   4,24484;1003,10600;-9999,00000;   4,92292;   7,53409;-9999,00000;  45,24306;   2,12847;  -0,80070;  12,92138; 209,06346
2021-01-19 00:00:00; 4,60417;  19,88798;  15,11599;   0,00226;  15,90067; 485,42360;  86,51934;   0,95324;   4,24384;1007,20790;-9999,00000;   0,01667;   6,68001;-9999,00000;  31,28472;   1,90278;  -1,13229;  12,84087; 234,94713
2021-01-18 00:00:00; 2,66319;  19,98846;  15,14288;   0,00000;  16,01555; 366,49304;  82,90866;   0,13889;   4,24274;1008,90180;-9999,00000;  -5,52118;   7,71941;-9999,00000;  49,70486;   0,48958;  -1,69167;  12,97038; 330,14215
2021-01-17 00:00:00; 2,69792;  20,00125;  15,25114;   0,00000;  16,21635; 391,61460;  88,64388;   0,00000;   4,24155;1004,01700;-9999,00000;  -4,49341;   6,35767;-9999,00000;  23,95833;   0,37847;  -0,88438;  12,68575; 347,08032
