DATE; Levegő-hőmérséklet; Belső akkufeszültség; Külső akkufeszültség; Levegő-páratartalom; Napelem töltőfeszültség; Légnyomás; Szélirány; Talajhőmérséklet 0 cm; Csapadék; Levélnedvesség; Talajnedvesség 30 cm; Talajnedvesség 120 cm; Szélsebesség; Talajnedvesség 90 cm; Fényegység; Fagy; Széllökés; Talajnedvesség 60 cm; Besugárzás
2021-04-29 22:00:00; 13,36364;   4,24582;  12,88855;  83,49454;   0,00000; 995,70917; 164,69186;  14,19091;   0,00000;   0,00000;  17,49600;-9999,00000;   0,00000;  20,66572; 354,09090;-9999,00000;   0,00000;  16,06799;   0,00000
2021-04-30 21:00:00; 12,65000;   4,24700;  12,90117;  85,80499;   0,00000; 997,02496; 289,32535;  15,52500;   0,00000;   0,00000;  17,37700;-9999,00000;   0,08333;  20,59000;   1,41667;-9999,00000;   0,58333;  15,83000;   0,00000
2021-04-30 20:00:00; 13,47500;   4,24792;  12,93158;  82,64750;   0,00000; 996,91670; 289,35504;  16,02500;   0,00000;   0,00000;  17,35716;-9999,00000;   0,00000;  20,59000;   0,00000;-9999,00000;   0,00000;  15,83000;   0,00000
2021-04-30 19:00:00; 14,65000;   4,24775;  12,95483;  78,18667;   0,00000; 996,85834; 289,35504;  16,60000;   0,00000;   0,00000;  17,35716;-9999,00000;   0,16667;  20,59000;   3,91667;-9999,00000;   0,83333;  15,83000;   0,00000
2021-04-30 18:00:00; 15,87500;   4,24917;  12,98850;  74,95667;   1,49867; 996,60840; 289,47230;  17,31667;   0,00000;   0,00000;  17,37700;-9999,00000;   0,25000;  20,59000; 536,33330;-9999,00000;   1,16667;  15,83000;   0,00000
2021-04-30 17:00:00; 19,58333;   4,25058;  13,02642;  61,14583;  14,79292; 996,23334; 288,94430;  18,05833;   0,00000;   0,00000;  17,35716;-9999,00000;   0,00000;  20,59000; 407,58334;-9999,00000;   0,66667;  15,83000;  15,00000
2021-04-30 16:00:00; 22,45000;   4,25358;  13,15017;  50,36084;  17,65258; 996,25830; 287,30237;  18,64167;   0,00000;   0,00000;  17,37700;-9999,00000;   0,08333;  20,59000;1019,75000;-9999,00000;   2,58333;  15,87958; 104,16666
2021-04-30 15:00:00; 22,69167;   4,25400;  13,24517;  49,68251;  18,95167; 996,65826; 306,23428;  19,16667;   0,00000;   0,00000;  17,37700;-9999,00000;   1,91667;  20,59000; 563,50000;-9999,00000;   7,50000;  15,94900; 185,41667
2021-04-30 14:00:00; 22,61818;   4,25455;  13,33300;  49,60182;  20,14755; 996,96360; 286,45178;  19,35455;   0,00000;   0,00000;  17,37700;-9999,00000;   2,18182;  20,59000; 820,81820;-9999,00000;   7,18182;  15,94900; 337,72726
2021-04-30 13:00:00; 23,10000;   4,25492;  13,36192;  50,86923;  20,04423; 997,00000; 296,63144;  19,20770;   0,00000;   0,00000;  17,37700;-9999,00000;   2,58333;  20,59000;1040,38460;-9999,00000;   8,41667;  15,94900; 475,38460
2021-04-30 12:00:00; 22,89091;   4,25518;  13,34264;  52,70364;  20,33309; 997,30914; 240,36842;  19,08182;   0,00000;   0,00000;  17,37700;-9999,00000;   2,45455;  20,59000;2003,18180;-9999,00000;   7,18182;  15,94900; 489,54544
2021-04-30 11:00:00; 22,56923;   4,25369;  13,33923;  53,23000;  19,56931; 997,64610; 237,15811;  18,86923;   0,00000;   0,00000;  17,37700;-9999,00000;   2,92308;  20,59000; 850,07690;-9999,00000;   6,92308;  15,94900; 440,38460
2021-04-30 10:00:00; 22,55833;   4,25483;  13,38000;  55,40416;  19,63450; 997,61670; 230,39047;  17,90000;   0,00000;   0,00000;  17,37700;-9999,00000;   2,75000;  20,59000;1092,16660;-9999,00000;   7,50000;  15,94900; 571,25000
2021-04-30 09:00:00; 21,70000;   4,25225;  13,38100;  58,34750;  19,80008; 997,70000; 224,37184;  16,36667;   0,00000;   0,00000;  17,45633;-9999,00000;   3,16667;  20,59000;1903,91660;-9999,00000;   6,75000;  15,94900; 612,08330
2021-04-30 08:00:00; 20,56667;   4,25258;  13,40517;  62,44750;  19,67383; 997,53326; 248,55148;  15,07500;   0,00000;   0,00000;  17,48608;-9999,00000;   3,41667;  20,59000; 961,91670;-9999,00000;   7,66667;  15,94900; 480,41666
2021-04-30 07:00:00; 19,01666;   4,25150;  13,51042;  69,11916;  20,27342; 997,36664; 237,49915;  14,06667;   0,00000;   0,00000;  17,44641;-9999,00000;   4,33333;  20,59000;1059,91660;-9999,00000;   8,08333;  15,94900; 499,58334
2021-04-30 06:00:00; 16,50000;   4,24950;  13,35216;  79,78084;  19,59950; 997,30000; 206,88597;  13,53333;   0,00000;   2,08333;  17,48608;-9999,00000;   3,25000;  20,59000;1086,41660;-9999,00000;   6,83333;  15,94900; 241,25000
2021-04-30 05:00:00; 14,95455;   4,24809;  12,99209;  85,19545;  16,95318; 997,16364; 199,88297;  13,30909;   0,00000;   0,00000;  17,49600;-9999,00000;   1,72727;  20,59000; 709,45450;-9999,00000;   3,90909;  15,94900;  85,45454
2021-04-30 04:00:00; 14,20769;   4,24554;  12,80654;  86,19539;  15,87554; 996,76160; 186,46321;  13,20000;   0,00000;   0,00000;  17,49600;-9999,00000;   3,00000;  20,63576; 342,07693;-9999,00000;   5,46154;  15,94900;  27,69231
2021-04-30 03:00:00; 13,54167;   4,24442;  12,79658;  87,20667;   7,17175; 995,97504; 158,09892;  13,27500;   0,00000;   1,66667;  17,49600;-9999,00000;   2,83333;  20,64950;   2,50000;-9999,00000;   5,08333;  15,99858;   1,66667
2021-04-30 02:00:00; 12,53333;   4,24567;  12,80258;  88,64501;   0,00000; 995,70013; 164,69186;  13,34167;   0,00000;   2,08333;  17,49600;-9999,00000;   1,58333;  20,66933; 333,41666;-9999,00000;   3,66667;  16,02833;   0,00000
2021-04-30 01:00:00; 11,73333;   4,24642;  12,82125;  89,55917;   0,00000; 995,83330; 164,69186;  13,52500;   0,00000;   0,00000;  17,49600;-9999,00000;   1,83333;  20,66933; 649,41670;-9999,00000;   4,25000;  16,06799;   0,00000
2021-04-30 00:00:00; 12,39167;   4,24583;  12,84233;  86,17083;   0,00000; 995,64166; 164,66266;  13,81667;   0,00000;   2,50000;  17,49600;-9999,00000;   0,00000;  20,67925; 324,58334;-9999,00000;   0,00000;  16,06799;   0,00000
2021-04-29 23:00:00; 14,25833;   4,24725;  12,86875;  81,58418;   0,00000; 995,68340; 164,69186;  13,98333;   0,00000;   3,75000;  17,49600;-9999,00000;   0,00000;  20,67925; 492,50000;-9999,00000;   0,00000;  16,06799;   0,00000
2021-04-28 22:00:00; 11,04546;   4,24618;  12,92373;  92,54455;   0,00000; 996,60913; 122,54784;  12,74545;   0,00000;   0,00000;  17,63663;-9999,00000;   1,72727;  20,76309; 183,45454;-9999,00000;   3,81818;  16,18700;   0,00000
2021-04-29 21:00:00; 11,83077;   4,24515;  12,91962;  85,34386;   0,00000; 995,52310; 164,63779;  14,53846;   0,00000;   0,00000;  17,49600;-9999,00000;   0,30769;  20,68154; 300,92307;-9999,00000;   1,07692;  16,06799;   0,00000
2021-04-29 20:00:00; 12,53333;   4,24667;  12,94483;  83,19084;   0,00000; 995,16670; 164,69186;  15,04167;   0,00000;   0,00000;  17,49600;-9999,00000;   1,66667;  20,65941;   2,91667;-9999,00000;   3,50000;  16,06799;   0,00000
2021-04-29 19:00:00; 13,66667;   4,24792;  12,97025;  81,38666;   0,00000; 994,90840; 164,66266;  15,59167;   0,00000;   0,00000;  17,49600;-9999,00000;   2,41667;  20,68916; 664,16670;-9999,00000;   4,25000;  16,06799;   0,00000
2021-04-29 18:00:00; 15,65833;   4,24842;  12,99450;  77,63666;   1,24717; 994,54170; 175,15405;  16,10000;   0,00000;   0,00000;  17,49600;-9999,00000;   3,33333;  20,70900;  11,66667;-9999,00000;   5,41667;  16,06799;   0,00000
2021-04-29 17:00:00; 17,56667;   4,24942;  13,04533;  74,39333;  14,83108; 994,17500; 179,74630;  16,60000;   0,01808;   4,16667;  17,49600;-9999,00000;   3,16667;  20,70900;  44,08333;-9999,00000;   5,50000;  16,05808;  20,00000
2021-04-29 16:00:00; 17,72500;   4,25083;  13,16475;  82,32999;  17,02450; 993,85820; 224,92876;  16,95000;   0,03617;   5,00000;  17,49600;-9999,00000;   0,50000;  20,70900; 122,08334;-9999,00000;   2,91667;  15,97875;  55,41667
2021-04-29 15:00:00; 21,07272;   4,25236;  13,21818;  56,30364;  17,68527; 994,06354; 181,41476;  17,36364;   0,00000;   0,45455;  17,49600;-9999,00000;   4,27273;  20,70900; 166,18182;-9999,00000;   7,81818;  16,06799;  76,36364
2021-04-29 14:00:00; 22,08462;   4,25408;  13,26446;  51,69692;  19,50238; 994,43850; 185,07469;  17,60000;   0,00000;   0,00000;  17,49600;-9999,00000;   4,23077;  20,70900; 682,07690;-9999,00000;   8,76923;  16,06799; 225,38461
2021-04-29 13:00:00; 22,42727;   4,25409;  13,34182;  50,98273;  19,60845; 994,99097; 198,22705;  17,60000;   0,00000;   0,00000;  17,49600;-9999,00000;   4,72727;  20,70900;1691,09100;-9999,00000;   9,36364;  16,06799; 337,27274
2021-04-29 12:00:00; 21,67692;   4,25331;  13,39631;  54,48000;  19,96208; 995,47700; 200,64146;  17,56154;   0,00000;   0,00000;  17,54177;-9999,00000;   5,23077;  20,70900; 791,53845;-9999,00000;  10,07692;  16,06799; 367,69232
2021-04-29 11:00:00; 21,00000;   4,25409;  13,38936;  57,77000;  20,39727; 995,92737; 190,62341;  17,40909;   0,00000;   0,00000;  17,59336;-9999,00000;   6,36364;  20,70900;1748,63640;-9999,00000;  12,45454;  16,06799; 478,18182
2021-04-29 10:00:00; 20,00000;   4,25231;  13,43777;  64,27461;  20,15800; 996,13837; 178,24223;  15,99231;   0,00000;   0,00000;  17,53261;-9999,00000;   6,15385;  20,70900;1130,84620;-9999,00000;  12,07692;  16,15038; 629,23080
2021-04-29 09:00:00; 17,41667;   4,25133;  13,46400;  72,75167;  20,76958; 996,65840; 176,28676;  14,10833;   0,00000;   0,00000;  17,54558;-9999,00000;   5,58333;  20,70900;1592,25000;-9999,00000;  12,00000;  16,18700; 708,33330
2021-04-29 08:00:00; 14,61667;   4,25033;  13,56109;  81,03416;  20,79400; 997,10004; 177,35405;  12,86667;   0,00000;   0,00000;  17,57533;-9999,00000;   3,83333;  20,70900;1206,83340;-9999,00000;   8,50000;  16,18700; 458,75000
2021-04-29 07:00:00; 12,22500;   4,24900;  13,51092;  86,96500;  19,69933; 997,33330; 181,27562;  12,29167;   0,00000;   0,00000;  17,61500;-9999,00000;   5,58333;  20,70900;1229,91660;-9999,00000;  10,66667;  16,18700; 228,75000
2021-04-29 06:00:00; 11,55833;   4,24742;  13,39875;  89,41750;  19,16217; 997,05005; 168,26822;  12,03333;   0,00000;   0,00000;  17,61500;-9999,00000;   4,16667;  20,70900; 252,00000;-9999,00000;   8,33333;  16,18700; 126,66666
2021-04-29 05:00:00; 10,68333;   4,24425;  13,13917;  92,43250;  17,49208; 996,94165; 173,04967;  11,82500;   0,00000;   0,00000;  17,61500;-9999,00000;   2,58333;  20,70900; 317,25000;-9999,00000;   5,00000;  16,18700;  85,83334
2021-04-29 04:00:00; 9,85833;   4,24567;  12,78633;  93,06918;  15,95333; 996,95000; 170,43990;  11,80833;   0,00000;   0,00000;  17,61500;-9999,00000;   2,33333;  20,70900; 345,91666;-9999,00000;   4,83333;  16,18700;  20,41667
2021-04-29 03:00:00; 9,60000;   4,24533;  12,78742;  92,59083;   8,49833; 996,85834; 171,26195;  11,90833;   0,00000;   0,00000;  17,61500;-9999,00000;   2,25000;  20,70900; 515,25000;-9999,00000;   5,08333;  16,18700;   2,50000
2021-04-29 02:00:00; 9,59167;   4,24467;  12,80183;  91,15916;   0,00683; 996,67505; 165,74780;  12,05833;   0,00000;   0,00000;  17,61500;-9999,00000;   1,83333;  20,72883; 330,41666;-9999,00000;   4,16667;  16,18700;   0,00000
2021-04-29 01:00:00; 9,70000;   4,24417;  12,82033;  89,37500;   0,00000; 996,74164; 165,74780;  12,21667;   0,00000;   0,00000;  17,61500;-9999,00000;   2,33333;  20,78833;   1,50000;-9999,00000;   5,16667;  16,18700;   0,00000
2021-04-29 00:00:00; 10,04545;   4,24536;  12,85373;  88,43909;   0,00000; 996,49084; 167,57407;  12,35455;   0,00000;   0,00000;  17,61500;-9999,00000;   2,45455;  20,75227; 522,36365;-9999,00000;   5,00000;  16,18700;   0,00000
