DATE; Talajnedvesség 90 cm; Besugárzás; Levélnedvesség; Külső akkufeszültség; Széllökés; Talajnedvesség 30 cm; Levegő-páratartalom; Légnyomás; Talajhőmérséklet 0 cm; Napelem töltőfeszültség; Csapadék; Szélirány; Belső akkufeszültség; Fagy; Szélsebesség; Fényegység; Talajnedvesség 60 cm; Levegő-hőmérséklet
2021-04-30 22:10:00; 23,08900;   0,00000;   0,00000;  12,76900;   1,00000;  20,35200;  81,37000;1001,70000;  15,90000;   0,00000;   0,00000; 277,30206;   4,22100;-9999,00000;   0,00000;   0,00000;  20,59000;  13,90000
2021-04-30 22:00:00; 23,08900;   0,00000;   0,00000;  12,81500;   0,00000;  20,35200;  80,59500;1001,55000;  15,90000;   0,00000;   0,00000; 277,30206;   4,21800;-9999,00000;   0,00000;1948,00000;  20,59000;  14,00000
2021-04-30 22:20:00; 23,08900;   0,00000;   0,00000;  12,82100;   2,50000;  20,35200;  81,51500;1001,65000;  15,80000;   0,00000;   0,00000; 259,00290;   4,22000;-9999,00000;   0,50000;   0,00000;  20,59000;  13,85000
2021-04-30 22:30:00; 23,08900;   0,00000;   0,00000;  12,80150;   1,50000;  20,35200;  80,87000;1001,65000;  15,80000;   0,00000;   0,00000; 243,34348;   4,21800;-9999,00000;   0,00000;   1,00000;  20,59000;  13,85000
2021-04-30 22:40:00; 23,08900;   0,00000;   0,00000;  12,80000;   1,00000;  20,35200;  80,36000;1001,65000;  15,75000;   0,00000;   0,00000; 243,51900;   4,21800;-9999,00000;   0,00000;  17,00000;  20,59000;  13,90000
2021-04-30 22:50:00; 23,08900;   0,00000;   0,00000;  12,75300;   0,00000;  20,35200;  80,51500;1001,65000;  15,70000;   0,00000;   0,00000; 243,34348;   4,22000;-9999,00000;   0,00000;   0,50000;  20,59000;  13,85000
2021-04-30 23:00:00; 23,08900;   0,00000;   0,00000;  12,69333;   0,00000;  20,35200;  80,54333;1001,63330;  15,60000;   0,00000;   0,00000; 243,28455;   4,21800;-9999,00000;   0,00000;   0,00000;  20,59000;  13,90000
2021-04-30 23:10:00; 23,08900;   0,00000;   0,00000;  12,78400;   0,50000;  20,35200;  80,63000;1001,45000;  15,60000;   0,00000;   0,00000; 243,51900;   4,21800;-9999,00000;   0,00000;   3,50000;  20,59000;  13,90000
2021-04-30 23:20:00; 23,08900;   0,00000;   0,00000;  12,78000;   0,00000;  20,35200;  81,00000;1001,45000;  15,50000;   0,00000;   0,00000; 243,16719;   4,22100;-9999,00000;   0,00000;   0,00000;  20,59000;  13,75000
2021-04-30 23:30:00; 23,08900;   0,00000;   0,00000;  12,76900;   4,00000;  20,35200;  81,63000;1001,30000;  15,50000;   0,00000;   0,00000; 243,16719;   4,21950;-9999,00000;   1,00000;  91,50000;  20,59000;  13,50000
2021-04-30 23:40:00; 23,08900;   0,00000;   0,00000;  12,79400;   4,00000;  20,35200;  80,67334;1001,16670;  15,40000;   0,00000;   0,00000; 239,76547;   4,21700;-9999,00000;   1,33333;   0,00000;  20,59000;  13,73333
2021-04-30 23:50:00; 23,08900;   0,00000;   0,00000;  12,76100;   2,00000;  20,35200;  80,77499;1001,10000;  15,40000;   0,00000;   0,00000; 238,59250;   4,21450;-9999,00000;   0,00000;   0,00000;  20,59000;  13,75000
2021-04-30 18:30:00; 23,08900;   0,00000;   0,00000;  12,93167;   0,00000;  20,47100;  72,47000;1000,93335;  17,63333;   0,00000;   0,00000; 277,12595;   4,22233;-9999,00000;   0,00000;1298,66660;  20,59000;  16,93333
2021-04-30 18:50:00; 23,08900;   0,00000;   0,00000;  12,91600;   0,00000;  20,47100;  75,20500;1001,10000;  17,40000;   0,00000;   0,00000; 277,06760;   4,22000;-9999,00000;   0,00000;  19,50000;  20,59000;  16,15000
2021-04-30 18:40:00; 23,08900;   0,00000;   0,00000;  12,93200;   0,00000;  20,47100;  74,12000;1001,00000;  17,50000;   0,00000;   0,00000; 277,30206;   4,21950;-9999,00000;   0,00000;   9,50000;  20,59000;  16,40000
2021-04-30 19:10:00; 23,08900;   0,00000;   0,00000;  12,92200;   0,00000;  20,35200;  76,41000;1001,25000;  17,30000;   0,00000;   0,00000; 277,30206;   4,22100;-9999,00000;   0,00000;   0,00000;  20,59000;  15,70000
2021-04-30 19:00:00; 23,08900;   0,00000;   0,00000;  12,86600;   0,00000;  20,35200;  76,10000;1001,25000;  17,30000;   0,00000;   0,00000; 277,30206;   4,22000;-9999,00000;   0,00000;  16,00000;  20,59000;  16,00000
2021-04-30 19:20:00; 23,08900;   0,00000;   0,00000;  12,89900;   0,00000;  20,35200;  75,11000;1001,35000;  17,15000;   0,00000;   0,00000; 277,30206;   4,22050;-9999,00000;   0,00000;  36,00000;  20,59000;  15,60000
2021-04-30 19:30:00; 23,08900;   0,00000;   0,00000;  12,87700;   0,00000;  20,35200;  75,95500;1001,25000;  17,10000;   0,00000;   0,00000; 277,30206;   4,22100;-9999,00000;   0,00000;  25,50000;  20,59000;  15,50000
2021-04-30 19:40:00; 23,08900;   0,00000;   0,00000;  12,89033;   0,00000;  20,35200;  75,98000;1001,30000;  16,93333;   0,00000;   0,00000; 277,30206;   4,21833;-9999,00000;   0,00000;   8,33333;  20,59000;  15,25000
2021-04-30 20:00:00; 23,08900;   0,00000;   0,00000;  12,88900;   0,00000;  20,35200;  75,93999;1001,30000;  16,76667;   0,00000;   0,00000; 277,30206;   4,22150;-9999,00000;   0,00000;  11,50000;  20,59000;  15,20000
2021-04-30 19:50:00; 23,08900;   0,00000;   0,00000;  12,89300;   0,00000;  20,35200;  75,65000;1001,30000;  16,90000;   0,00000;   0,00000; 277,30206;   4,21850;-9999,00000;   0,00000;   0,00000;  20,59000;  15,30000
2021-04-30 20:10:00; 23,08900;   0,00000;   0,00000;  12,86550;   0,00000;  20,35200;  76,43000;1001,25000;  16,65000;   0,00000;   0,00000; 277,30206;   4,22150;-9999,00000;   0,00000;   0,00000;  20,59000;  15,05000
2021-04-30 20:30:00; 23,08900;   0,00000;   0,00000;  12,80700;   0,00000;  20,35200;  78,26000;1001,30000;  16,50000;   0,00000;   0,00000; 276,95040;   4,21900;-9999,00000;   0,00000;  27,00000;  20,59000;  14,70000
2021-04-30 20:20:00; 23,08900;   0,00000;   0,00000;  12,85950;   0,00000;  20,35200;  77,66000;1001,25000;  16,60000;   0,00000;   0,00000; 277,30206;   4,21800;-9999,00000;   0,00000;   1,00000;  20,59000;  14,85000
2021-04-30 20:40:00; 23,08900;   0,00000;   0,00000;  12,86200;   0,33333;  20,35200;  77,46000;1001,33330;  16,43333;   0,00000;   0,00000; 277,30206;   4,22233;-9999,00000;   0,00000;   0,66667;  20,59000;  14,86667
2021-04-30 21:00:00; 23,08900;   0,00000;   0,00000;  12,85200;   1,50000;  20,41150;  77,60500;1001,50000;  16,30000;   0,00000;   0,00000; 277,30206;   4,22100;-9999,00000;   0,00000;   0,00000;  20,59000;  14,85000
2021-04-30 21:10:00; 23,08900;   0,00000;   0,00000;  12,84800;   1,00000;  20,35200;  77,44000;1001,55000;  16,30000;   0,00000;   0,00000; 277,30206;   4,22000;-9999,00000;   0,00000;  47,50000;  20,59000;  14,80000
2021-04-30 20:50:00; 23,08900;   0,00000;   0,00000;  12,85000;   0,00000;  20,35200;  77,14000;1001,40000;  16,40000;   0,00000;   0,00000; 277,30206;   4,22100;-9999,00000;   0,00000;   0,00000;  20,59000;  15,00000
2021-04-30 17:00:00; 23,20800;  25,00000;   0,00000;  12,96400;   6,00000;  20,35200;  56,13000;1000,36670;  18,43333;  15,78600;   0,00000; 275,77740;   4,22100;-9999,00000;   3,33333; 176,00000;  20,59000;  21,53333
2021-04-30 17:10:00; 23,20800;  18,33333;   0,00000;  12,97600;   5,00000;  20,35200;  58,96500;1000,45000;  18,35000;  14,88600;   0,00000; 277,30206;   4,22150;-9999,00000;   2,00000; 106,50000;  20,59000;  20,90000
2021-04-30 17:30:00; 23,20800;   7,50000;   0,00000;  12,97200;   0,50000;  20,35200;  65,27000;1000,60000;  18,15000;  13,08950;   0,00000; 277,30206;   4,22150;-9999,00000;   0,00000;  37,50000;  20,59000;  19,45000
2021-04-30 17:20:00; 23,20800;  15,00000;   0,00000;  12,98000;   1,00000;  20,35200;  62,69000;1000,45000;  18,30000;  14,69800;   0,00000; 277,30206;   4,22050;-9999,00000;   0,00000; 100,50000;  20,59000;  20,20000
2021-04-30 17:40:00; 23,20800;   2,50000;   0,00000;  12,96650;   0,00000;  20,35200;  66,90000;1000,70000;  18,10000;  10,46000;   0,00000; 277,30206;   4,22150;-9999,00000;   0,00000;   9,50000;  20,59000;  18,85000
2021-04-30 17:50:00; 23,20800;   0,00000;   0,00000;  12,95850;   0,00000;  20,35200;  68,87000;1000,70000;  17,95000;   6,60350;   0,00000; 277,12595;   4,22000;-9999,00000;   0,00000;  25,00000;  20,59000;  18,15000
2021-04-30 18:00:00; 23,20800;   0,00000;   0,00000;  12,91600;   0,00000;  20,35200;  69,68000;1000,70000;  17,90000;   2,92300;   0,00000; 277,30206;   4,22100;-9999,00000;   0,00000;   0,00000;  20,59000;  17,90000
2021-04-30 18:10:00; 23,20800;   0,00000;   0,00000;  12,96650;   0,00000;  20,47100;  70,54500;1000,80000;  17,85000;   0,85650;   0,00000; 277,30206;   4,22250;-9999,00000;   0,00000;  29,50000;  20,59000;  17,60000
2021-04-30 18:20:00; 23,08900;   0,00000;   0,00000;  12,95100;   0,00000;  20,47100;  71,33000;1000,85000;  17,80000;   0,09900;   0,00000; 277,30206;   4,21900;-9999,00000;   0,00000;   1,50000;  20,59000;  17,25000
2021-04-30 15:40:00; 23,20800; 267,50000;   0,00000;  13,12400;  14,00000;  20,35200;  50,27500;1000,50000;  19,00000;  16,85200;   0,00000; 279,94128;   4,22150;-9999,00000;   8,00000; 596,50000;  20,59000;  23,25000
2021-04-30 15:50:00; 23,20800; 247,50000;   0,00000;  13,09450;  11,00000;  20,35200;  50,61000;1000,35000;  18,90000;  16,84050;   0,00000; 285,04380;   4,22200;-9999,00000;   5,00000;2412,00000;  20,59000;  23,15000
2021-04-30 16:00:00; 23,20800; 215,00000;   0,00000;  13,06150;  10,00000;  20,35200;  49,58000;1000,25000;  18,90000;  16,82300;   0,00000; 295,95300;   4,21800;-9999,00000;   6,00000;3002,50000;  20,59000;  23,25000
2021-04-30 16:10:00; 23,20800; 200,00000;   0,00000;  12,99800;  12,00000;  20,35200;  49,58000;1000,20000;  18,90000;  16,81100;   0,00000; 290,32288;   4,21500;-9999,00000;   5,00000;3895,00000;  20,59000;  23,40000
2021-04-30 16:20:00; 23,20800; 177,50000;   0,00000;  13,03200;  13,00000;  20,35200;  49,67000;1000,15000;  18,80000;  16,82850;   0,00000; 279,76526;   4,21700;-9999,00000;   8,00000;2745,50000;  20,59000;  23,20000
2021-04-30 16:30:00; 23,20800; 152,50000;   0,00000;  13,00900;  10,50000;  20,35200;  49,45500;1000,30000;  18,75000;  16,82300;   0,00000; 285,21990;   4,21950;-9999,00000;   5,00000;2419,50000;  20,59000;  23,10000
2021-04-30 16:40:00; 23,20800; 120,00000;   0,00000;  13,00500;   8,50000;  20,35200;  51,45000;1000,35000;  18,65000;  16,82300;   0,00000; 279,58920;   4,21800;-9999,00000;   4,00000; 305,50000;  20,59000;  22,80000
2021-04-30 16:50:00; 23,20800;  47,50000;   0,00000;  12,97800;   6,50000;  20,35200;  53,41500;1000,35000;  18,55000;  16,57050;   0,00000; 281,87700;   4,21850;-9999,00000;   3,50000; 230,50000;  20,59000;  22,10000
