DATE; Talajnedvesség 90 cm; Napelem töltőfeszültség; Levegő-páratartalom; Belső akkufeszültség; Besugárzás; Talajnedvesség 60 cm; Fényegység; Széllökés; Talajhőmérséklet 0 cm; Fagy; Levegő-hőmérséklet; Csapadék; Szélirány; Légnyomás; Levélnedvesség; Szélsebesség; Talajnedvesség 30 cm; Külső akkufeszültség
2021-01-17 00:00:00; 24,27852;   6,16844;  90,67094;   4,21033;  38,76325;  22,37500; 701,65280;   3,96763;   0,27774;-9999,00000;  -4,07929;   0,00240; 223,67448;1008,38510;   3,45070;   1,53237;  26,14692;  12,45468
2021-01-15 00:00:00; 24,39712;   7,06785;  87,87848;   4,21472;  48,42199;  22,41945; 665,06600;   6,61871;   0,69823;-9999,00000;  -2,16726;   0,00080; 337,03550;1006,66925;   0,10563;   2,41367;  26,49131;  12,63463
2021-01-16 00:00:00; 24,30007;   7,03731;  84,28243;   4,21461;  43,62676;  22,40118; 582,36456;   3,31408;   0,44610;-9999,00000;  -5,01494;   0,00000; 221,88400;1009,73030;   0,10638;   0,87726;  26,36399;  12,70899
2021-01-18 00:00:00; 24,19209;   6,43699;  90,97532;   4,21462;  54,52297;  22,37205; 777,73610;   4,54152;   0,27722;-9999,00000;  -6,18071;   0,00080; 249,31134;1013,69165;   5,10638;   1,98195;  25,90116;  12,53309
2021-01-19 00:00:00; 24,16004;   6,48660;  92,46138;   4,21068;  30,98592;  22,28283; 593,76044;  11,67384;   0,15300;-9999,00000;  -1,74610;   0,00398; 228,74971;1012,79840;   5,07042;   5,97491;  25,69475;  12,39836
2021-01-20 00:00:00; 24,16004;   6,73238;  87,04278;   4,21229;  39,03169;  22,17822; 663,69446;  15,66187;   0,20000;-9999,00000;   1,68790;   0,00319; 227,51782;1009,16480;   2,79152;   8,73381;  25,44913;  12,53823
2021-04-24 00:00:00; 23,31241;  11,85814;  55,73167;   4,22564; 269,05594;  20,87328;1630,80550;   6,64184;  12,86749;-9999,00000;  10,03803;   0,00000;  35,90826;1012,55480;   0,00000;   2,46808;  21,20732;  13,19487
2021-04-25 00:00:00; 23,29509;  11,56142;  56,98188;   4,22431; 241,12848;  20,85687;1492,79590;   7,49291;  13,33507;-9999,00000;  12,17762;   0,00000; 318,34955;1007,57700;   0,31250;   2,70213;  21,12178;  13,14076
2021-04-26 00:00:00; 23,25661;  11,83519;  50,10905;   4,22555; 216,25874;  20,82925;1225,57980;   6,52143;  13,46831;-9999,00000;   9,58092;   0,00000;  63,47437;1007,75720;   0,00000;   2,22500;  20,95662;  13,21284
2021-04-28 00:00:00; 23,20759;  10,37847;  69,32197;   4,22124;  67,63066;  20,74688; 607,37850;   5,05319;  13,24476;-9999,00000;  11,74280;   0,00000; 102,86457;1001,27730;   0,90592;   1,79078;  20,62007;  13,06031
2021-04-29 00:00:00; 23,19598;  11,36332;  66,80089;   4,22111; 204,10034;  20,64866;1345,01380;  14,57244;  15,00451;-9999,00000;  16,10455;   0,00000; 225,39906;1000,73047;   0,15625;   5,44170;  20,53127;  13,11204
2021-04-14 00:00:00; 23,56455;  10,04339;  89,84931;   4,22322;  65,20979;  20,96412; 467,38196;   7,48929;   9,15740;-9999,00000;   4,50883;   0,01977;   6,08853;1007,26270;   5,05263;   2,67143;  20,27214;  13,08746
2021-04-30 00:00:00; 23,16776;  11,17604;  71,97057;   4,21947; 192,23958;  20,59410;1115,75000;  10,65018;  16,46598;-9999,00000;  17,29125;   0,01414; 254,24625;1001,19010;   1,66090;   5,32509;  20,44222;  13,05806
2021-04-15 00:00:00; 23,44511;  10,51829;  83,98029;   4,22557;  91,88811;  20,94653; 659,62286;   5,38790;   8,89266;-9999,00000;   5,15352;   0,00000; 302,59943;1009,79260;   3,05944;   1,82918;  20,13497;  13,15182
2021-04-16 00:00:00; 23,39273;  11,20341;  78,34406;   4,22708; 149,77272;  20,88810; 852,41670;   9,43928;   8,91158;-9999,00000;   5,48127;   0,00079; 288,08350;1010,19200;   1,64336;   4,75357;  20,14254;  13,21301
2021-04-23 00:00:00; 23,32995;  11,58825;  59,94907;   4,22490; 199,72125;  20,89994;1369,98610;   8,29181;  12,96084;-9999,00000;  10,58385;   0,00000; 331,41450;1011,21270;   0,00000;   2,98221;  21,21802;  13,19490
2021-04-27 00:00:00; 23,21674;  11,57262;  45,63754;   4,22346; 200,20833;  20,77182;1288,95120;   6,03915;  14,10558;-9999,00000;  11,87746;   0,00000;  86,88537;1002,49750;   0,00000;   2,33096;  20,80702;  13,16898
2021-03-31 00:00:00; 23,84633;  10,36353;  62,73043;   4,22337; 160,32986;  21,77952;1075,01730;   4,35106;  11,86515;-9999,00000;  13,38982;   0,00000;  65,40952;1015,23254;   0,00000;   1,51418;  22,92995;  13,08302
2021-04-01 00:00:00; 23,85712;  10,39268;  66,97718;   4,22265; 171,75348;  21,75878;1038,61460;   5,58865;  12,39687;-9999,00000;  14,80210;   0,00000; 247,66844;1006,48114;   0,59441;   1,99291;  22,62508;  13,04360
2021-04-02 00:00:00; 23,88691;  10,35125;  68,22494;   4,22219; 142,58742;  21,77036;1009,63070;   8,43060;  12,76819;-9999,00000;  13,46373;   0,00316;  22,36415;1000,51750;   0,36585;   3,32384;  22,36072;  13,06286
2021-04-11 00:00:00; 23,44387;  11,04695;  45,05876;   4,22423; 190,62500;  21,11177;1288,80830;  11,53381;  10,48008;-9999,00000;  13,23299;   0,00000; 217,72087;1010,23157;   0,00000;   6,23488;  20,74169;  13,13839
2021-04-12 00:00:00; 23,46659;  10,93118;  43,53101;   4,22175; 199,68858;  21,09821;1215,25950;  10,66549;  12,95278;-9999,00000;  16,47108;   0,00000; 215,15201;1007,22150;   0,00000;   4,61620;  20,63411;  13,12600
