DATE; Szélirány; Belső akkufeszültség; Besugárzás; Levélnedvesség; Talajhőmérséklet 0 cm; Légnyomás; Csapadék; Napelem töltőfeszültség; Külső akkufeszültség; Fagy; Szélsebesség; Talajnedvesség 90 cm; Széllökés; Levegő-páratartalom; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Fényegység; Levegő-hőmérséklet
2021-04-30 18:00:00; 277,20618;   4,22083;   0,00000;   0,00000;  17,65000;1000,90910;   0,00000;   0,40283;  12,93683;-9999,00000;   0,00000;  23,11875;   0,00000;  72,30637;  20,59000;  20,46108; 334,66666;  17,00909
2021-04-30 19:00:00; 277,30206;   4,21975;   0,00000;   0,00000;  17,10000;1001,28180;   0,00000;   0,00000;  12,89325;-9999,00000;   0,00000;  23,08900;   0,00000;  75,88728;  20,59000;  20,35199;  13,66667;  15,58182
2021-04-30 20:00:00; 277,27264;   4,22082;   0,00000;   0,00000;  16,58333;1001,30000;   0,00000;   0,00000;  12,86100;-9999,00000;   0,00000;  23,08900;   0,08333;  76,98166;  20,59000;  20,35199;   4,90909;  14,97500
2021-04-30 17:00:00; 276,92322;   4,22100;  11,92308;   0,00000;  18,23077;1000,53080;   0,00000;  12,83323;  12,96908;-9999,00000;   1,07692;  23,20800;   2,38462;  62,59846;  20,59000;  20,35199;  83,53846;  19,97693
2021-04-30 21:00:00; 277,30206;   4,21992;   0,00000;   0,00000;  16,13077;1001,51540;   0,00000;   0,00000;  12,82385;-9999,00000;   0,00000;  23,08899;   0,53846;  79,49461;  20,59000;  20,37030; 312,07693;  14,26923
2021-04-29 22:00:00; 255,83392;   4,21773;   0,00000;   0,00000;  15,50000; 999,84550;   0,00000;   0,00000;  12,85709;-9999,00000;   1,72727;  23,08900;   4,81818;  75,82819;  20,59000;  20,51427; 357,81818;  14,50000
2021-04-29 23:00:00; 233,79477;   4,21777;   0,00000;   0,00000;  15,19231;1000,00000;   0,00000;   0,00000;  12,84000;-9999,00000;   3,76923;  23,08899;  10,15385;  76,54077;  20,59000;  20,48015;   7,61538;  13,93077
2021-04-30 00:00:00; 269,25104;   4,21618;   0,00000;   1,36364;  14,88182;1000,37280;   0,08255;   0,00000;  12,82127;-9999,00000;   4,90000;  23,11063;  10,30000;  78,97636;  20,59000;  20,50670;  10,63636;  13,52727
2021-04-30 01:00:00; 244,05618;   4,21654;   0,00000;   5,00000;  14,66923;1000,63840;   0,10477;   0,00000;  12,80746;-9999,00000;   5,23077;  23,20800;  11,15385;  87,26770;  20,55338;  20,70900; 788,76920;  12,93846
2021-04-30 02:00:00; 225,55249;   4,21408;   0,00000;   5,00000;  14,49166;1000,70825;   0,00000;   0,29417;  12,79508;-9999,00000;   4,00000;  23,20799;   9,75000;  84,92999;  20,59000;  20,59991; 403,91666;  12,79167
2021-04-30 03:00:00; 223,99846;   4,21446;   1,81818;   5,00000;  14,31818;1001,02730;   0,00000;  10,82491;  12,80127;-9999,00000;   4,90909;  23,15390;  12,18182;  85,44637;  20,59000;  20,48181;  12,09091;  12,40000
2021-04-30 04:00:00; 225,31996;   4,21292;  22,69231;   5,00000;  14,13077;1001,65390;   0,00000;  15,78462;  12,77608;-9999,00000;   5,25000;  23,08900;  13,08333;  85,68615;  20,69069;  20,47099; 286,30768;  12,45385
2021-04-30 05:00:00; 245,04865;   4,21246;  39,09091;   5,00000;  14,03636;1002,34000;   0,16509;  16,84846;  12,83000;-9999,00000;   2,81818;  23,18636;   7,00000;  88,72900;  20,61163;  20,56836; 174,36363;  12,31000
2021-04-30 06:00:00; 214,63528;   4,21177; 126,15385;   5,00000;  14,03846;1002,40010;   0,00000;  18,22639;  13,20092;-9999,00000;   6,69231;  23,20800;  12,23077;  88,41000;  20,59000;  20,58008; 678,23080;  13,20769
2021-04-30 07:00:00; 203,50406;   4,22545; 255,00000;   5,00000;  14,28182;1002,62720;   0,00000;  19,38000;  13,38873;-9999,00000;   7,36364;  23,20799;  12,45454;  84,87454;  20,60082;  20,47099;1685,18180;  14,95454
2021-04-30 08:00:00; 205,25185;   4,22569; 612,69230;   3,46154;  14,88462;1002,59240;   0,00000;  20,35754;  13,48100;-9999,00000;   8,25000;  23,20800;  14,75000;  79,43308;  20,59000;  20,47099;2290,30760;  17,66923
2021-04-30 09:00:00; 219,40663;   4,22533; 635,90910;   0,00000;  16,22500;1002,27496;   0,00000;  20,09350;  13,35833;-9999,00000;   7,75000;  23,20799;  18,08333;  68,77333;  20,59000;  20,40158;2575,83330;  20,60833
2021-04-30 10:00:00; 265,34875;   4,22445; 670,41670;   0,00000;  17,62727;1001,93634;   0,00000;  20,37164;  13,33200;-9999,00000;   8,54546;  23,20799;  16,54545;  62,72455;  20,59000;  20,35199;2769,36350;  22,10909
2021-04-30 11:00:00; 275,06372;   4,22169; 521,53845;   0,00000;  18,82308;1001,59235;   0,00000;  20,08492;  13,39300;-9999,00000;   8,76923;  23,20800;  17,46154;  58,31616;  20,59000;  20,35199;2805,00000;  22,83846
