"NEV","GPS_HOSSZUSAG","GPS_SZELESSEG"
ELEP,,
ÉK_TÉPE,21.54486,47.28573
DD_SZEKSZÁRD,18.73686,46.34971
KÖ_ÉRSEKVADKERT,19.19612,47.98852
ÉK_DERECSKE,21.550879,47.370621
DD_HÁROMFA,17.33405,46.07752
D_VÁROSFÖLD,19.74198,46.85334
TÖRÖLT2,20.20251,47.5339343
ÉK_HAJDÚNÁNÁS-1,21.31593,47.84515
ÉK_HAJDÚSZOBOSZLÓ,21.29029,47.42571
ÉD_POMÁZ,19.02723,47.648225
Szeged,20.157735,46.27195667
ÉK_TISZAVASVÁRI1,21.37877,47.96362
ÉK_NÁDUDVAR,21.15572,47.43059
DD_SOMOGYJÁD,17.71683,46.48519
ÉK_BALMAZÚJVÁROS,21.337,47.61262
D_Baja,18.98837,46.18448
ÉK_Tiborszállás,22.40632,47.79591
ÉD_Gyõrszemere,17.5915062,47.5719074
KÖ_Tiszafüred,20.747325,47.586884
ÉK_Hajdúnánás,21.468667,47.8817
D_Hódmezõvásárhely,20.35003,46.43048
D_ÚJKÍGYÓS,21.02687,46.58203
KÖ_Dabas,19.33806,47.18507
ÉK_Nyírmada,22.248247,48.048389
ÉD_Hegyfalu,16.89198,47.35828
ÉD_Zalaszentbalázs,16.91821,46.57569
ÉD_Herceghalom,18.749681,47.502894
ÉK_Monok,21.154876,48.217134
ÉK_Nyírbátor,22.06933,47.84778
ÉK_Ófehértó,22.0474,47.91586
ÉK_Létavértes,21.900194,47.3705
ÉK_Szamosbecs,22.69529,47.85634
ÉK_Nagykálló,21.88246,47.84969
DD_Sárbogárd,18.636,46.85288
ÉK_Tiszavasvári,21.42862,47.95404
ÉK_Tisztaberek,22.81432,47.96046
ÉK_Felsõzsolca,20.85937,48.12201
KÖ_Mezõtúr,20.604896,47.016998
KÖ_Füzesabony,20.40672,47.73855
KÖ_Szászberek,20.09332,47.30645
D_SZEGED,20.13779,46.29852
D_JÁNOSHALMA,19.34413,46.27769
ÉD_ZALAEGERSZEG,16.79338,46.85631
KÖ_KÉTPÓ,20.46886,47.064
ÉK_NYÍRMADA1,22.21967,48.07172
ÉK_DERECSKE_FAGY,21.55149,47.37143
ÉK_EBES,21.52843,47.4545
D_GYULA,21.27071,46.67084
KÖ_ABÁDSZALÓK,20.58975,47.42974
ÉD_LENTI,16.53587,46.63651
KÖ_SÜLYSÁP,19.53649,47.43173
ÉK_NAGYCSERKESZ,21.55255,47.96006
DD_BORJÁD_NAGYNODE,18.47868,45.93737
KÖ_HORT,19.76136,47.68399
ÉD_RÁBAPORDÁNY_NAGYNODE,17.32988,47.56441
D_CSONGRÁD,20.14269,46.63976
D_CSÁTALJA,18.97138,46.01383
D_CSONGRÁD_1,20.11898,46.6752
ELEP_BÁZIS,,
KÖ_TISZASZENTIMRE,20.67817,47.49969
KÖ_MEZÕKÖVESD,20.54733,47.79923
D_CSANÁDPALOTA,20.72414,46.26688
ÉK_NÁDUDVAR_1,21.2089,47.43103
KÖ_TISZASZENTIMRE2,20.69017,47.47356
DD_BALATONSZABADI,18.14062,46.89904
ÉK_TISZTABEREK1,22.79479,47.9519
ÉD_RÖJTÖKMUZSAJ,16.8273,47.56261
DD_VILLÁNY,18.44923,45.8583
KÖ_ABONY,20.0039,47.17337
ÉK_DERECSKE_BÁZIS,21.550847,47.370659
ÉD_JENÕ,18.23415,47.09803
KÖ_RÁCKEVE,18.92471,47.15232
ÉK_GÖNC,21.26292,48.47755
ÉD_KÜLSÕVAT,17.22625,47.29238
D_DÉVAVÁNYA,20.86387,47.07702
OVF_Osli,17.0772,47.65
OVF_Tata,18.3275,47.6161
OVF_Várbalog,17.0961,47.8419
OVF_Zsebeháza,17.1969,47.5103
OVF_Szentes,20.3869,46.7519
OVF_Mindszent,20.2025,46.4914
OVF_Apaj,19.1022,47.1161
OVF_Hernád,19.4278,47.1858
OVF_Mélykút,19.4761,46.2458
OVF_Kiskunfélegyháza (Aszálymonitoring),19.88,46.7119
OVF_Csólyospálos,19.7986,46.4481
OVF_Borota,19.2294,46.2508
OVF_Csávoly,19.0694,46.1856
OVF_Pálmonostora,19.9397,46.6328
OVF_Csengele,19.8703,46.5581
OVF_Kisszállás,19.5672,46.2728
OVF_Székkutas,20.5461,46.5
OVF_Kiskunhalas,19.4731,46.3858
OVF_Fülöpháza,19.435,46.9003
OVF_Lajosmizse,19.4883,46.995
OVF_Ruzsa,19.7686,46.2628
OVF_Városföld,19.7742,46.8722
OVF_Bernecebaráti,18.8903,48.0394
OVF_Kartal,19.55,47.6892
OVF_Csongrád,20.0831,46.7633
OVF_Kunpeszér,19.2636,47.0672
OVF_Izsák,19.4103,46.8358
OVF_Bánhalma,20.6083,47.2467
OVF_Jászladány,20.1861,47.3644
OVF_Császárszállás,21.6919,47.8592
OVF_Szakoly,21.8792,47.7458
OVF_Gemzse,22.1775,48.1253
OVF_Nyírvasvári,22.1744,47.8261
OVF_Szentistván,20.67,47.7694
OVF_Visznek,20.0347,47.6381
OVF_Békés,21.1631,46.8014
OVF_Csabacsûd,20.6611,46.8014
OVF_Kunszentmiklós,19.1408,47.0547
OVF_Homokmégy,19.0569,46.4936
OVF_Solt,19.0644,46.7886
